,SNO,Gene ID,Transcript ID,Exon ID,Strand,Seq region Name,Exon Start,Exon End,Exon Length
87,88,ENSG00000132204,ENST00000582862,ENSE00003476972,-1,18,1269821,1269852,32
88,89,ENSG00000132204,ENST00000577403,ENSE00002705605,-1,18,1358726,1358762,37
89,90,ENSG00000132204,ENST00000577403,ENSE00003640804,-1,18,1275966,1276077,112
90,91,ENSG00000132204,ENST00000577403,ENSE00003671679,-1,18,1272442,1272511,70
91,92,ENSG00000132204,ENST00000577403,ENSE00003476972,-1,18,1269821,1269852,32
92,93,ENSG00000132204,ENST00000581212,ENSE00002700398,-1,18,1359387,1359629,243
93,94,ENSG00000132204,ENST00000581212,ENSE00003647356,-1,18,1358726,1358760,35
94,95,ENSG00000132204,ENST00000581212,ENSE00001543793,-1,18,1353407,1353462,56
95,96,ENSG00000132204,ENST00000581212,ENSE00003640804,-1,18,1275966,1276077,112
96,97,ENSG00000132204,ENST00000581212,ENSE00001650534,-1,18,1273361,1273533,173
97,98,ENSG00000132204,ENST00000581212,ENSE00003671679,-1,18,1272442,1272511,70
98,99,ENSG00000132204,ENST00000581212,ENSE00003476972,-1,18,1269821,1269852,32
99,100,ENSG00000132204,ENST00000582570,ENSE00002709392,-1,18,1408247,1408344,98
100,101,ENSG00000132204,ENST00000582570,ENSE00002727886,-1,18,1368089,1368597,509
101,102,ENSG00000132204,ENST00000580336,ENSE00002699949,-1,18,1392086,1392185,100
102,103,ENSG00000132204,ENST00000580336,ENSE00002719448,-1,18,1368290,1368597,308
103,104,ENSG00000132832,ENST00000415889,ENSE00001776622,-1,20,44696003,44696096,94
104,105,ENSG00000132832,ENST00000415889,ENSE00001680169,-1,20,44695391,44695507,117
105,106,ENSG00000132832,ENST00000415889,ENSE00001676247,-1,20,44663205,44663553,349
106,107,ENSG00000132832,ENST00000415889,ENSE00003794886,-1,20,44659711,44659778,68
107,108,ENSG00000132832,ENST00000415889,ENSE00003795955,-1,20,44658995,44659181,187
108,109,ENSG00000132832,ENST00000415889,ENSE00003800971,-1,20,44656451,44657051,601
109,110,ENSG00000136315,ENST00000555624,ENSE00002472110,1,14,20919361,20919404,44
110,111,ENSG00000136315,ENST00000555624,ENSE00002479155,1,14,20920007,20920299,293
111,112,ENSG00000145063,ENST00000536743,ENSE00001350781,-1,2,11132015,11132176,162
112,113,ENSG00000145063,ENST00000536743,ENSE00001524110,-1,2,11128984,11129098,115
113,114,ENSG00000145063,ENST00000536743,ENSE00003522155,-1,2,11128721,11128886,166
114,115,ENSG00000145063,ENST00000536743,ENSE00003491957,-1,2,11124583,11124785,203
115,116,ENSG00000145063,ENST00000536743,ENSE00003576948,-1,2,11123152,11123289,138
116,117,ENSG00000145063,ENST00000536743,ENSE00003563043,-1,2,11120763,11120962,200
117,118,ENSG00000145063,ENST00000536743,ENSE00001524106,-1,2,11106696,11106787,92
118,119,ENSG00000145063,ENST00000536743,ENSE00003578174,-1,2,11105317,11105662,346
119,120,ENSG00000145063,ENST00000544306,ENSE00001708055,-1,2,11131998,11132221,224
120,121,ENSG00000145063,ENST00000544306,ENSE00003522155,-1,2,11128721,11128886,166
121,122,ENSG00000145063,ENST00000544306,ENSE00003491957,-1,2,11124583,11124785,203
122,123,ENSG00000145063,ENST00000544306,ENSE00003563043,-1,2,11120763,11120962,200
123,124,ENSG00000145063,ENST00000544306,ENSE00003578174,-1,2,11105317,11105662,346
124,125,ENSG00000145063,ENST00000447433,ENSE00001715913,-1,2,11132273,11132770,498
125,126,ENSG00000145063,ENST00000447433,ENSE00001632827,-1,2,11129327,11129452,126
126,127,ENSG00000145063,ENST00000447433,ENSE00001524110,-1,2,11128984,11129098,115
127,128,ENSG00000145063,ENST00000447433,ENSE00003522155,-1,2,11128721,11128886,166
128,129,ENSG00000145063,ENST00000447433,ENSE00001708107,-1,2,11124219,11124785,567
129,130,ENSG00000145063,ENST00000590373,ENSE00002763792,-1,2,11132273,11132821,549
130,131,ENSG00000145063,ENST00000590373,ENSE00002867468,-1,2,11124758,11124785,28
131,132,ENSG00000145063,ENST00000590207,ENSE00002926093,-1,2,11131998,11132108,111
132,133,ENSG00000145063,ENST00000590207,ENSE00001524110,-1,2,11128984,11129098,115
133,134,ENSG00000145063,ENST00000590207,ENSE00002759433,-1,2,11128539,11128886,348
134,135,ENSG00000146521,ENST00000495520,ENSE00001768928,-1,6,167796609,167796859,251
135,136,ENSG00000146521,ENST00000495520,ENSE00002163345,-1,6,167790947,167791093,147
136,137,ENSG00000146521,ENST00000495520,ENSE00002066211,-1,6,167787314,167787607,294
137,138,ENSG00000146521,ENST00000495520,ENSE00001824153,-1,6,167784537,167785496,960
138,139,ENSG00000146521,ENST00000366822,ENSE00001510769,-1,6,167796609,167796846,238
139,140,ENSG00000146521,ENST00000366822,ENSE00002163345,-1,6,167790947,167791093,147
140,141,ENSG00000146521,ENST00000366822,ENSE00001388128,-1,6,167786820,167787607,788
141,142,ENSG00000147753,ENST00000457100,ENSE00001799711,1,Y,6449468,6449504,37
142,143,ENSG00000147753,ENST00000457100,ENSE00001638328,1,Y,6450446,6450607,162
143,144,ENSG00000147753,ENST00000457100,ENSE00001698649,1,Y,6452915,6452989,75
144,145,ENSG00000147753,ENST00000457100,ENSE00001648830,1,Y,6453678,6454154,477
145,146,ENSG00000147753,ENST00000457100,ENSE00001726416,1,Y,6456072,6456185,114
146,147,ENSG00000147753,ENST00000457100,ENSE00001799620,1,Y,6457661,6457906,246
147,148,ENSG00000147753,ENST00000276770,ENSE00001799711,1,Y,6449468,6449504,37
148,149,ENSG00000147753,ENST00000276770,ENSE00001638328,1,Y,6450446,6450607,162
149,150,ENSG00000147753,ENST00000276770,ENSE00001698649,1,Y,6452915,6452989,75
150,151,ENSG00000147753,ENST00000276770,ENSE00001648830,1,Y,6453678,6454154,477
151,152,ENSG00000147753,ENST00000276770,ENSE00001726416,1,Y,6456072,6456185,114
152,153,ENSG00000147753,ENST00000276770,ENSE00001594918,1,Y,6457159,6457414,256
153,154,ENSG00000147753,ENST00000276770,ENSE00001799620,1,Y,6457661,6457906,246
154,155,ENSG00000147753,ENST00000449828,ENSE00001682908,1,Y,6453905,6454154,250
155,156,ENSG00000147753,ENST00000449828,ENSE00001619344,1,Y,6455973,6456185,213
156,157,ENSG00000147753,ENST00000449828,ENSE00001799620,1,Y,6457661,6457906,246
157,158,ENSG00000147761,ENST00000447655,ENSE00001729695,-1,Y,9710576,9710825,250
158,159,ENSG00000147761,ENST00000447655,ENSE00001805126,-1,Y,9708545,9708757,213
159,160,ENSG00000147761,ENST00000447655,ENSE00001633857,-1,Y,9706824,9707069,246
160,161,ENSG00000147761,ENST00000276779,ENSE00001692562,-1,Y,9715226,9715262,37
161,162,ENSG00000147761,ENST00000276779,ENSE00001658267,-1,Y,9714123,9714284,162
162,163,ENSG00000147761,ENST00000276779,ENSE00001691944,-1,Y,9711741,9711815,75
163,164,ENSG00000147761,ENST00000276779,ENSE00001628673,-1,Y,9710576,9711052,477
164,165,ENSG00000147761,ENST00000276779,ENSE00001700737,-1,Y,9708545,9708658,114
165,166,ENSG00000147761,ENST00000276779,ENSE00001717109,-1,Y,9707316,9707571,256
166,167,ENSG00000147761,ENST00000276779,ENSE00001633857,-1,Y,9706824,9707069,246
167,168,ENSG00000147761,ENST00000415405,ENSE00001692562,-1,Y,9715226,9715262,37
168,169,ENSG00000147761,ENST00000415405,ENSE00001658267,-1,Y,9714123,9714284,162
169,170,ENSG00000147761,ENST00000415405,ENSE00001691944,-1,Y,9711741,9711815,75
170,171,ENSG00000147761,ENST00000415405,ENSE00001628673,-1,Y,9710576,9711052,477
171,172,ENSG00000147761,ENST00000415405,ENSE00001700737,-1,Y,9708545,9708658,114
172,173,ENSG00000147761,ENST00000415405,ENSE00001633857,-1,Y,9706824,9707069,246
173,174,ENSG00000149656,ENST00000279067,ENSE00002460611,1,20,64290385,64290734,350
174,175,ENSG00000149656,ENST00000279067,ENSE00002490041,1,20,64294891,64295059,169
175,176,ENSG00000149656,ENST00000279067,ENSE00001901032,1,20,64303151,64303559,409
176,177,ENSG00000149656,ENST00000445252,ENSE00002478407,1,20,64294897,64295059,163
177,178,ENSG00000149656,ENST00000445252,ENSE00001691420,1,20,64303151,64303358,208
178,179,ENSG00000149656,ENST00000445252,ENSE00002447649,1,20,64311267,64311371,105
179,180,ENSG00000149656,ENST00000425473,ENSE00001702482,1,20,64294941,64295059,119
180,181,ENSG00000149656,ENST00000425473,ENSE00002447649,1,20,64311267,64311371,105
181,182,ENSG00000149656,ENST00000425473,ENSE00002450675,1,20,64312728,64313132,405
182,183,ENSG00000152931,ENST00000515734,ENSE00002065899,1,5,60487713,60488423,711
183,184,ENSG00000152931,ENST00000515734,ENSE00002037216,1,5,60489661,60491518,1858
184,185,ENSG00000152931,ENST00000506884,ENSE00002061146,1,5,60488140,60488423,284
185,186,ENSG00000152931,ENST00000506884,ENSE00002027103,1,5,60529404,60529543,140
186,187,ENSG00000152931,ENST00000506884,ENSE00002085010,1,5,60533932,60534019,88
187,188,ENSG00000152931,ENST00000506884,ENSE00002074489,1,5,60546102,60547657,1556
188,189,ENSG00000152931,ENST00000504876,ENSE00002023508,1,5,60488207,60488423,217
189,190,ENSG00000152931,ENST00000504876,ENSE00002086953,1,5,60521020,60526418,5399
190,191,ENSG00000153363,ENST00000423222,ENSE00001443217,1,1,211382803,211382925,123
191,192,ENSG00000153363,ENST00000423222,ENSE00003734384,1,1,211391616,211391697,82
192,193,ENSG00000153363,ENST00000423222,ENSE00003729521,1,1,211391827,211391976,150
193,194,ENSG00000153363,ENST00000423222,ENSE00003730834,1,1,211396767,211396831,65
194,195,ENSG00000153363,ENST00000423222,ENSE00001794767,1,1,211426211,211426283,73
195,196,ENSG00000153363,ENST00000423222,ENSE00002613820,1,1,211432319,211435333,3015
196,197,ENSG00000153363,ENST00000534914,ENSE00003749703,1,1,211382820,211382925,106
197,198,ENSG00000153363,ENST00000534914,ENSE00003734384,1,1,211391616,211391697,82
198,199,ENSG00000153363,ENST00000534914,ENSE00003729521,1,1,211391827,211391976,150
199,200,ENSG00000153363,ENST00000534914,ENSE00003730834,1,1,211396767,211396831,65
200,201,ENSG00000153363,ENST00000534914,ENSE00003722983,1,1,211398036,211398638,603
201,202,ENSG00000153363,ENST00000448567,ENSE00001760116,1,1,211382837,211382975,139
202,203,ENSG00000153363,ENST00000448567,ENSE00001604273,1,1,211390564,211390670,107
203,204,ENSG00000153363,ENST00000448567,ENSE00003734384,1,1,211391616,211391697,82
204,205,ENSG00000153363,ENST00000448567,ENSE00003729521,1,1,211391827,211391976,150
205,206,ENSG00000153363,ENST00000610948,ENSE00003729286,1,1,211399258,211399437,180
206,207,ENSG00000153363,ENST00000610948,ENSE00001794767,1,1,211426211,211426283,73
207,208,ENSG00000153363,ENST00000610948,ENSE00001703456,1,1,211432319,211432534,216
208,209,ENSG00000162947,ENST00000295052,ENSE00001528562,-1,2,149859043,149859191,149
209,210,ENSG00000162947,ENST00000295052,ENSE00001070095,-1,2,149857451,149858603,1153
210,211,ENSG00000162947,ENST00000295052,ENSE00001528561,-1,2,149804182,149804220,39
211,212,ENSG00000162947,ENST00000295052,ENSE00001528559,-1,2,149769320,149769406,87
212,213,ENSG00000162947,ENST00000295052,ENSE00001528558,-1,2,149767506,149767909,404
213,214,ENSG00000162947,ENST00000433174,ENSE00001674917,-1,2,149857451,149857685,235
214,215,ENSG00000162947,ENST00000433174,ENSE00001645901,-1,2,149816464,149816784,321
215,216,ENSG00000163364,ENST00000295549,ENSE00001073808,-1,2,176637462,176637931,470
216,217,ENSG00000163364,ENST00000295549,ENSE00001421028,-1,2,176633033,176633125,93
217,218,ENSG00000163364,ENST00000295549,ENSE00001402187,-1,2,176629589,176630432,844
218,219,ENSG00000163364,ENST00000339037,ENSE00001669310,-1,2,176637462,176637562,101
219,220,ENSG00000163364,ENST00000339037,ENSE00001408131,-1,2,176633365,176633740,376
220,221,ENSG00000163364,ENST00000339037,ENSE00001421028,-1,2,176633033,176633125,93
221,222,ENSG00000163364,ENST00000339037,ENSE00001682076,-1,2,176630165,176630432,268
222,223,ENSG00000164385,ENST00000624527,ENSE00001384121,-1,6,2634565,2634603,39
223,224,ENSG00000164385,ENST00000624527,ENSE00001378106,-1,6,2633605,2633792,188
224,225,ENSG00000164385,ENST00000624527,ENSE00001083952,-1,6,2621913,2624119,2207
225,226,ENSG00000166770,ENST00000588685,ENSE00002874230,1,19,56477250,56478687,1438
226,227,ENSG00000166770,ENST00000586822,ENSE00002781319,1,19,56477603,56477925,323
227,228,ENSG00000166770,ENST00000586822,ENSE00002749475,1,19,56494163,56494307,145
228,229,ENSG00000166770,ENST00000585445,ENSE00002776055,1,19,56478131,56478381,251
229,230,ENSG00000166770,ENST00000585445,ENSE00002932064,1,19,56494163,56495432,1270
230,231,ENSG00000166770,ENST00000586091,ENSE00002854461,1,19,56478155,56478381,227
231,232,ENSG00000166770,ENST00000586091,ENSE00003531394,1,19,56494163,56494342,180
232,233,ENSG00000166770,ENST00000586091,ENSE00002918477,1,19,56495048,56495318,271
233,234,ENSG00000166770,ENST00000594783,ENSE00003197069,1,19,56478157,56478276,120
234,235,ENSG00000166770,ENST00000594783,ENSE00002872673,1,19,56491577,56491766,190
235,236,ENSG00000166770,ENST00000594783,ENSE00003167086,1,19,56494163,56494327,165
236,237,ENSG00000166770,ENST00000592146,ENSE00001469977,1,19,56478183,56478276,94
237,238,ENSG00000166770,ENST00000592146,ENSE00003531394,1,19,56494163,56494342,180
238,239,ENSG00000166770,ENST00000592146,ENSE00002815080,1,19,56495048,56495441,394
239,240,ENSG00000166770,ENST00000588158,ENSE00002771256,1,19,56478183,56478381,199
240,241,ENSG00000166770,ENST00000588158,ENSE00002867512,1,19,56497301,56497449,149
241,242,ENSG00000166770,ENST00000588158,ENSE00002820643,1,19,56500094,56500666,573
242,243,ENSG00000166770,ENST00000591797,ENSE00002818253,1,19,56478190,56478377,188
243,244,ENSG00000166770,ENST00000591797,ENSE00002872673,1,19,56491577,56491766,190
244,245,ENSG00000166770,ENST00000591797,ENSE00002787805,1,19,56494163,56494319,157
245,246,ENSG00000166770,ENST00000601875,ENSE00003036693,1,19,56478240,56478293,54
246,247,ENSG00000166770,ENST00000601875,ENSE00003046549,1,19,56494163,56494603,441
247,248,ENSG00000168367,ENST00000600892,ENSE00003019494,-1,16,86337361,86337556,196
248,249,ENSG00000168367,ENST00000600892,ENSE00002981909,-1,16,86335678,86335872,195
249,250,ENSG00000168367,ENST00000600892,ENSE00003119080,-1,16,86333688,86333907,220
250,251,ENSG00000168367,ENST00000600892,ENSE00003172821,-1,16,86332959,86333044,86
251,252,ENSG00000168367,ENST00000600892,ENSE00003142920,-1,16,86331844,86332678,835
252,253,ENSG00000168367,ENST00000594203,ENSE00003083074,-1,16,86345492,86345644,153
253,254,ENSG00000168367,ENST00000594203,ENSE00001530901,-1,16,86338750,86338832,83
254,255,ENSG00000168367,ENST00000594203,ENSE00003011226,-1,16,86337361,86338661,1301
255,256,ENSG00000168367,ENST00000594203,ENSE00003119080,-1,16,86333688,86333907,220
256,257,ENSG00000168367,ENST00000594203,ENSE00003172821,-1,16,86332959,86333044,86
257,258,ENSG00000168367,ENST00000594203,ENSE00003142920,-1,16,86331844,86332678,835
258,259,ENSG00000168367,ENST00000651755,ENSE00003841433,-1,16,86349551,86349645,95
259,260,ENSG00000168367,ENST00000651755,ENSE00001530901,-1,16,86338750,86338832,83
260,261,ENSG00000168367,ENST00000651755,ENSE00003844611,-1,16,86337361,86337608,248
261,262,ENSG00000168367,ENST00000651755,ENSE00003119080,-1,16,86333688,86333907,220
262,263,ENSG00000168367,ENST00000651755,ENSE00003142920,-1,16,86331844,86332678,835
263,264,ENSG00000168367,ENST00000601556,ENSE00001530902,-1,16,86345492,86345679,188
264,265,ENSG00000168367,ENST00000601556,ENSE00001530901,-1,16,86338750,86338832,83
265,266,ENSG00000168367,ENST00000601556,ENSE00003668217,-1,16,86337682,86338661,980
266,267,ENSG00000168367,ENST00000601556,ENSE00003651055,-1,16,86337361,86337592,232
267,268,ENSG00000168367,ENST00000601556,ENSE00003119080,-1,16,86333688,86333907,220
268,269,ENSG00000168367,ENST00000601556,ENSE00003172821,-1,16,86332959,86333044,86
269,270,ENSG00000168367,ENST00000601556,ENSE00003013074,-1,16,86331850,86332678,829
270,271,ENSG00000168367,ENST00000595169,ENSE00003070514,-1,16,86349551,86349639,89
271,272,ENSG00000168367,ENST00000595169,ENSE00001530901,-1,16,86338750,86338832,83
272,273,ENSG00000168367,ENST00000595169,ENSE00003036451,-1,16,86337995,86338661,667
273,274,ENSG00000168367,ENST00000599619,ENSE00003151100,-1,16,86349575,86349683,109
274,275,ENSG00000168367,ENST00000599619,ENSE00001530901,-1,16,86338750,86338832,83
275,276,ENSG00000168367,ENST00000599619,ENSE00003141118,-1,16,86338134,86338661,528
276,277,ENSG00000168367,ENST00000599664,ENSE00003108720,-1,16,86349551,86349683,133
277,278,ENSG00000168367,ENST00000599664,ENSE00003144683,-1,16,86349018,86349155,138
278,279,ENSG00000168367,ENST00000599664,ENSE00001530901,-1,16,86338750,86338832,83
279,280,ENSG00000168367,ENST00000599664,ENSE00003072180,-1,16,86338249,86338661,413
280,281,ENSG00000168367,ENST00000598994,ENSE00003041646,-1,16,86349551,86349680,130
281,282,ENSG00000168367,ENST00000598994,ENSE00003092886,-1,16,86349018,86349148,131
282,283,ENSG00000168367,ENST00000598994,ENSE00001530901,-1,16,86338750,86338832,83
283,284,ENSG00000168367,ENST00000598994,ENSE00003099289,-1,16,86338450,86338661,212
284,285,ENSG00000168746,ENST00000637248,ENSE00003799827,-1,20,44450537,44450557,21
285,286,ENSG00000168746,ENST00000637248,ENSE00001777830,-1,20,44449960,44450090,131
286,287,ENSG00000168746,ENST00000637248,ENSE00003796173,-1,20,44436172,44436565,394
287,288,ENSG00000168746,ENST00000415299,ENSE00003794577,-1,20,44450537,44450548,12
288,289,ENSG00000168746,ENST00000415299,ENSE00001777830,-1,20,44449960,44450090,131
289,290,ENSG00000168746,ENST00000415299,ENSE00001724104,-1,20,44448777,44449054,278
290,291,ENSG00000168746,ENST00000372910,ENSE00003755858,-1,20,44465165,44465349,185
291,292,ENSG00000168746,ENST00000372910,ENSE00001126551,-1,20,44462224,44462282,59
292,293,ENSG00000168746,ENST00000372910,ENSE00003800033,-1,20,44452023,44452173,151
293,294,ENSG00000168746,ENST00000372910,ENSE00003796852,-1,20,44448801,44449054,254
294,295,ENSG00000168746,ENST00000306731,ENSE00001458994,-1,20,44465165,44465328,164
295,296,ENSG00000168746,ENST00000306731,ENSE00001126551,-1,20,44462224,44462282,59
296,297,ENSG00000168746,ENST00000306731,ENSE00001403357,-1,20,44451984,44452173,190
297,298,ENSG00000168746,ENST00000623295,ENSE00001126568,-1,20,44465165,44465344,180
298,299,ENSG00000168746,ENST00000623295,ENSE00001458992,-1,20,44461763,44462282,520
299,300,ENSG00000170161,ENST00000305709,ENSE00001838617,1,9,62897449,62897734,286
300,301,ENSG00000170161,ENST00000305709,ENSE00001770518,1,9,62897850,62900104,2255
301,302,ENSG00000170161,ENST00000476224,ENSE00001949586,1,9,62897452,62897734,283
302,303,ENSG00000170161,ENST00000476224,ENSE00001876616,1,9,62897850,62897979,130
303,304,ENSG00000170161,ENST00000476224,ENSE00001937685,1,9,62898704,62899770,1067
304,305,ENSG00000170161,ENST00000467494,ENSE00001832366,1,9,62898106,62898160,55
305,306,ENSG00000170161,ENST00000467494,ENSE00001902338,1,9,62898704,62898904,201
306,307,ENSG00000170983,ENST00000304233,ENSE00001175455,1,8,11576313,11577317,1005
307,308,ENSG00000170983,ENST00000304233,ENSE00001175444,1,8,11578370,11578641,272
308,309,ENSG00000170983,ENST00000304233,ENSE00001286086,1,8,11580470,11581342,873
