,SNO,Gene ID,Transcript ID,Biotype,Strand,Seq region Name,Transcript Start,Transcript End,Transcript Length,No. of Exons
80,81,ENSG00000170161,ENST00000467494,lincRNA,1,9,62898106,62898904,256,2
81,82,ENSG00000170983,ENST00000304233,lincRNA,1,8,11576313,11581342,2150,3
82,83,ENSG00000172965,ENST00000645030,lincRNA,-1,2,111036776,111495046,575,4
83,84,ENSG00000172965,ENST00000642191,lincRNA,-1,2,111131347,111494957,1945,5
84,85,ENSG00000172965,ENST00000645051,lincRNA,-1,2,111162771,111495067,1852,5
85,86,ENSG00000172965,ENST00000609220,lincRNA,-1,2,111196350,111344098,883,2
86,87,ENSG00000172965,ENST00000609902,lincRNA,-1,2,111196920,111367525,603,4
87,88,ENSG00000172965,ENST00000439362,lincRNA,-1,2,111207776,111495048,1522,6
88,89,ENSG00000172965,ENST00000643013,lincRNA,-1,2,111207814,111495120,3565,6
89,90,ENSG00000172965,ENST00000605570,retained_intron,-1,2,111208015,111209117,1103,1
90,91,ENSG00000172965,ENST00000371162,lincRNA,-1,2,111237004,111239047,2044,1
91,92,ENSG00000172965,ENST00000431385,lincRNA,-1,2,111238719,111495020,843,4
92,93,ENSG00000172965,ENST00000443467,lincRNA,-1,2,111239824,111495048,826,6
93,94,ENSG00000172965,ENST00000451884,lincRNA,-1,2,111248150,111365714,423,3
94,95,ENSG00000172965,ENST00000432818,lincRNA,-1,2,111276331,111495100,572,4
95,96,ENSG00000172965,ENST00000444301,lincRNA,-1,2,111314312,111495033,666,4
96,97,ENSG00000172965,ENST00000453478,lincRNA,-1,2,111344091,111495054,560,4
97,98,ENSG00000172965,ENST00000409569,lincRNA,-1,2,111429309,111495086,514,2
98,99,ENSG00000172965,ENST00000419736,lincRNA,-1,2,111429312,111495051,777,4
99,100,ENSG00000172965,ENST00000643766,lincRNA,-1,2,111429318,111523376,963,5
100,101,ENSG00000172965,ENST00000308604,lincRNA,-1,2,111429319,111494988,552,3
101,102,ENSG00000172965,ENST00000603827,lincRNA,-1,2,111429322,111430908,1587,1
102,103,ENSG00000172965,ENST00000603310,lincRNA,-1,2,111429322,111441621,413,2
103,104,ENSG00000172965,ENST00000604981,lincRNA,-1,2,111429322,111495034,759,4
104,105,ENSG00000172965,ENST00000442293,lincRNA,-1,2,111429323,111480261,546,3
105,106,ENSG00000172965,ENST00000441075,lincRNA,-1,2,111429443,111495025,704,3
106,107,ENSG00000172965,ENST00000439494,lincRNA,-1,2,111469638,111480261,707,4
107,108,ENSG00000173862,ENST00000311067,lincRNA,1,7,33725981,33728456,1058,2
108,109,ENSG00000175170,ENST00000478164,lincRNA,-1,20,25763466,25868150,992,5
109,110,ENSG00000175170,ENST00000453481,lincRNA,-1,20,25774014,25861583,774,4
110,111,ENSG00000175170,ENST00000376403,lincRNA,-1,20,25774018,25863201,1681,3
111,112,ENSG00000175170,ENST00000485279,lincRNA,-1,20,25774231,25775270,388,2
112,113,ENSG00000175170,ENST00000584071,lincRNA,-1,20,25775023,25861577,733,3
113,114,ENSG00000175170,ENST00000582267,lincRNA,-1,20,25775177,25868225,832,7
114,115,ENSG00000175170,ENST00000584356,lincRNA,-1,20,25775255,25859903,610,4
115,116,ENSG00000175170,ENST00000424021,lincRNA,-1,20,25867072,25868168,605,2
116,117,ENSG00000175170,ENST00000376404,lincRNA,-1,20,25774861,25775316,456,1
117,118,ENSG00000175611,ENST00000433656,lincRNA,-1,9,95759231,95875480,1040,4
118,119,ENSG00000175611,ENST00000412446,lincRNA,-1,9,95813293,95875977,809,3
119,120,ENSG00000175611,ENST00000429781,lincRNA,-1,9,95840600,95875587,2825,3
120,121,ENSG00000175611,ENST00000427259,lincRNA,-1,9,95869840,95875270,893,2
121,122,ENSG00000175611,ENST00000448465,lincRNA,-1,9,95870283,95875070,290,3
122,123,ENSG00000175611,ENST00000321517,lincRNA,-1,9,95870284,95875976,1269,3
123,124,ENSG00000175728,ENST00000317019,lincRNA,1,11,130672956,130717352,3547,3
124,125,ENSG00000175746,ENST00000625107,lincRNA,1,15,39250684,39254845,3078,2
125,126,ENSG00000175746,ENST00000561223,lincRNA,1,15,39250766,39252913,953,2
126,127,ENSG00000175772,ENST00000436665,lincRNA,-1,2,110375138,110384442,2244,3
127,128,ENSG00000175772,ENST00000448359,lincRNA,-1,2,110375156,110383233,2443,2
128,129,ENSG00000175773,ENST00000602376,lincRNA,1,11,130314993,130403017,1763,6
129,130,ENSG00000175773,ENST00000532116,lincRNA,1,11,130315028,130393793,669,6
130,131,ENSG00000175773,ENST00000602310,lincRNA,1,11,130315039,130315683,330,3
131,132,ENSG00000175773,ENST00000649867,lincRNA,1,11,130315059,130403657,824,6
132,133,ENSG00000175773,ENST00000616197,lincRNA,1,11,130401902,130403657,413,2
133,134,ENSG00000176320,ENST00000415019,lincRNA,-1,1,158197922,158203877,1999,2
134,135,ENSG00000176515,ENST00000314040,lincRNA,1,6,1079929,1104946,3435,3
135,136,ENSG00000176659,ENST00000625080,lincRNA,1,20,60055925,60072953,2732,4
136,137,ENSG00000176659,ENST00000647608,lincRNA,1,20,60055951,60057917,646,2
137,138,ENSG00000176728,ENST00000505047,lincRNA,-1,Y,18772706,18819506,1127,4
138,139,ENSG00000176728,ENST00000651734,lincRNA,-1,Y,18772743,19077222,7093,15
139,140,ENSG00000176728,ENST00000650923,lincRNA,-1,Y,18772947,19011342,3528,11
140,141,ENSG00000176728,ENST00000652699,lincRNA,-1,Y,18772947,19076031,3969,12
141,142,ENSG00000176728,ENST00000651396,lincRNA,-1,Y,18772947,19077074,3935,12
142,143,ENSG00000176728,ENST00000651886,lincRNA,-1,Y,18772947,19077374,3947,12
143,144,ENSG00000176728,ENST00000650897,lincRNA,-1,Y,18802557,19077330,4224,14
144,145,ENSG00000176728,ENST00000651032,lincRNA,-1,Y,18802559,19077373,3413,8
145,146,ENSG00000176728,ENST00000652153,lincRNA,-1,Y,18802664,19077342,4408,15
146,147,ENSG00000176728,ENST00000652348,lincRNA,-1,Y,18806035,19077222,7621,15
147,148,ENSG00000176728,ENST00000324446,lincRNA,-1,Y,18872501,18878228,1495,2
148,149,ENSG00000176728,ENST00000454875,lincRNA,-1,Y,18872503,19077118,544,3
149,150,ENSG00000176728,ENST00000651355,lincRNA,-1,Y,18930471,19077383,2848,4
150,151,ENSG00000176728,ENST00000452584,lincRNA,-1,Y,18932317,19075996,860,5
151,152,ENSG00000176728,ENST00000651286,lincRNA,-1,Y,18932436,19076011,615,4
152,153,ENSG00000176728,ENST00000331787,lincRNA,-1,Y,18932699,19077416,515,2
153,154,ENSG00000176728,ENST00000447937,lincRNA,-1,Y,19041498,19077395,920,7
154,155,ENSG00000176754,ENST00000367207,lincRNA,-1,1,204032447,204041265,1891,5
155,156,ENSG00000176754,ENST00000418245,lincRNA,-1,1,204032934,204041264,1116,5
156,157,ENSG00000176754,ENST00000427799,lincRNA,-1,1,204032934,204041265,1028,6
157,158,ENSG00000176840,ENST00000317292,lincRNA,1,19,4769140,4772533,710,3
158,159,ENSG00000176840,ENST00000586721,lincRNA,1,19,4769140,4772533,879,5
159,160,ENSG00000176840,ENST00000592709,lincRNA,1,19,4769141,4772517,725,3
160,161,ENSG00000176840,ENST00000588711,lincRNA,1,19,4769142,4772499,560,4
161,162,ENSG00000176840,ENST00000589639,lincRNA,1,19,4769167,4772414,587,3
162,163,ENSG00000176840,ENST00000591008,lincRNA,1,19,4769186,4770400,481,4
163,164,ENSG00000176840,ENST00000592663,lincRNA,1,19,4769281,4772362,450,3
164,165,ENSG00000176840,ENST00000588758,lincRNA,1,19,4769281,4772517,865,6
165,166,ENSG00000176840,ENST00000588923,lincRNA,1,19,4770149,4772533,614,4
166,167,ENSG00000176840,ENST00000589368,lincRNA,1,19,4770373,4772514,529,3
167,168,ENSG00000177234,ENST00000369071,lincRNA,1,10,120597949,120600124,2176,1
168,169,ENSG00000177234,ENST00000623529,lincRNA,1,10,120597949,120600108,2160,1
169,170,ENSG00000177338,ENST00000321800,lincRNA,-1,17,73750330,73828520,708,4
170,171,ENSG00000177338,ENST00000544677,lincRNA,-1,17,73750330,73828520,472,4
171,172,ENSG00000177338,ENST00000579749,lincRNA,-1,17,73761004,73776757,583,2
172,173,ENSG00000177596,ENST00000325811,lincRNA,-1,13,74412957,74419115,2328,2
173,174,ENSG00000177757,ENST00000326734,lincRNA,1,1,817371,819837,1947,2
174,175,ENSG00000177800,ENST00000323223,lincRNA,1,1,229249636,229251810,2175,1
175,176,ENSG00000178107,ENST00000320322,lincRNA,1,14,21108043,21116703,358,2
176,177,ENSG00000178130,ENST00000426869,lincRNA,1,17,22298691,22299893,682,2
177,178,ENSG00000178130,ENST00000613377,lincRNA,1,17,22299375,22299694,216,2
178,179,ENSG00000178243,ENST00000623103,lincRNA,1,9,135343249,135346562,1924,3
179,180,ENSG00000178248,ENST00000320372,lincRNA,-1,22,23462086,23486980,1578,12
180,181,ENSG00000178412,ENST00000317008,lincRNA,-1,18,79638928,79679745,1111,5
181,182,ENSG00000178457,ENST00000324988,lincRNA,1,21,28013363,28023233,607,2
182,183,ENSG00000178734,ENST00000318245,lincRNA,1,13,75871038,75883811,1167,4
183,184,ENSG00000178977,ENST00000315707,lincRNA,-1,17,8220642,8224043,2082,3
184,185,ENSG00000179028,ENST00000375625,lincRNA,1,X,52199840,52203235,2369,2
185,186,ENSG00000179066,ENST00000648691,lincRNA,1,19,35090930,35105736,1429,2
186,187,ENSG00000179066,ENST00000650457,lincRNA,1,19,35090985,35107316,1210,2
187,188,ENSG00000179066,ENST00000616460,lincRNA,1,19,35105969,35107320,1352,1
188,189,ENSG00000179066,ENST00000649940,lincRNA,1,19,35106086,35113664,1069,2
189,190,ENSG00000179066,ENST00000313865,lincRNA,1,19,35105969,35107237,1269,1
190,191,ENSG00000179082,ENST00000316786,lincRNA,1,9,129321016,129324905,3145,2
191,192,ENSG00000179136,ENST00000313495,lincRNA,1,17,12549782,12637187,2953,4
192,193,ENSG00000179136,ENST00000577679,lincRNA,1,17,12549981,12635782,1187,3
193,194,ENSG00000179136,ENST00000577863,lincRNA,1,17,12635166,12642854,488,2
194,195,ENSG00000179219,ENST00000366314,lincRNA,1,16,85282958,85285963,1566,2
195,196,ENSG00000179452,ENST00000319701,lincRNA,1,1,181236388,181238604,259,3
196,197,ENSG00000179523,ENST00000560750,lincRNA,-1,15,44527257,44536640,1093,3
197,198,ENSG00000179523,ENST00000313807,lincRNA,-1,15,44533493,44536923,2863,2
198,199,ENSG00000179523,ENST00000559356,lincRNA,-1,15,44535069,44536894,500,2
199,200,ENSG00000179523,ENST00000558323,lincRNA,-1,15,44535089,44535943,570,2
200,201,ENSG00000179523,ENST00000560049,lincRNA,-1,15,44535252,44536900,639,3
201,202,ENSG00000179676,ENST00000323355,lincRNA,-1,18,64080009,64149030,873,4
202,203,ENSG00000179676,ENST00000454647,lincRNA,-1,18,64080302,64098610,339,3
203,204,ENSG00000179676,ENST00000456505,lincRNA,-1,18,64139453,64148874,217,2
204,205,ENSG00000179755,ENST00000319817,lincRNA,1,16,35021749,35024229,2481,1
205,206,ENSG00000179935,ENST00000412553,lincRNA,-1,20,18786065,18793993,3299,3
206,207,ENSG00000179935,ENST00000455340,lincRNA,-1,20,18788547,18794335,734,4
207,208,ENSG00000179935,ENST00000454749,lincRNA,-1,20,18788664,18794289,963,5
208,209,ENSG00000180066,ENST00000490765,lincRNA,1,10,132444327,132447920,462,3
209,210,ENSG00000180066,ENST00000392630,lincRNA,1,10,132445189,132449408,1846,3
210,211,ENSG00000180066,ENST00000321248,lincRNA,1,10,132445189,132449386,1257,4
211,212,ENSG00000180259,ENST00000418528,lincRNA,-1,20,4731282,4740668,1873,2
212,213,ENSG00000180259,ENST00000326539,lincRNA,-1,20,4731282,4740668,2333,2
213,214,ENSG00000180259,ENST00000423718,lincRNA,-1,20,4731282,4740668,2096,2
214,215,ENSG00000180422,ENST00000562248,lincRNA,1,16,89159146,89160562,1095,2
215,216,ENSG00000180422,ENST00000321214,lincRNA,1,16,89159220,89163675,2243,4
216,217,ENSG00000180422,ENST00000565008,lincRNA,1,16,89162382,89164245,1864,1
217,218,ENSG00000180712,ENST00000317596,lincRNA,-1,4,184340756,184353977,2153,3
218,219,ENSG00000180712,ENST00000511465,lincRNA,-1,4,184341690,184347912,564,2
219,220,ENSG00000180861,ENST00000318426,lincRNA,-1,12,13371089,13376711,2750,3
220,221,ENSG00000180861,ENST00000539026,lincRNA,-1,12,13374798,13376675,573,3
221,222,ENSG00000180861,ENST00000532841,lincRNA,-1,12,13375527,13387167,1003,2
222,223,ENSG00000180861,ENST00000531049,lincRNA,-1,12,13376229,13387167,683,4
223,224,ENSG00000180861,ENST00000527705,lincRNA,-1,12,13373014,13376430,632,2
224,225,ENSG00000180869,ENST00000370624,lincRNA,-1,1,84628230,84635020,2884,3
225,226,ENSG00000181798,ENST00000313064,lincRNA,-1,2,231508426,231514339,1282,3
226,227,ENSG00000181908,ENST00000316124,lincRNA,1,11,64449074,64451657,2340,2
227,228,ENSG00000182057,ENST00000609564,lincRNA,1,22,42269703,42279493,4829,2
228,229,ENSG00000182057,ENST00000332965,lincRNA,1,22,42269744,42279534,5923,2
229,230,ENSG00000182057,ENST00000446578,lincRNA,1,22,42269768,42275033,551,4
230,231,ENSG00000182057,ENST00000415205,lincRNA,1,22,42269785,42277001,2421,3
231,232,ENSG00000182057,ENST00000420096,lincRNA,1,22,42276355,42277052,545,2
232,233,ENSG00000182165,ENST00000359941,lincRNA,-1,7,87325225,87345515,855,3
233,234,ENSG00000182165,ENST00000416560,lincRNA,-1,7,87325299,87345515,710,4
234,235,ENSG00000182165,ENST00000610086,lincRNA,-1,7,87325347,87345463,849,3
235,236,ENSG00000182165,ENST00000432193,lincRNA,-1,7,87325350,87345486,510,3
236,237,ENSG00000182165,ENST00000421293,lincRNA,-1,7,87325350,87345486,439,3
237,238,ENSG00000182165,ENST00000542586,lincRNA,-1,7,87341402,87345515,685,3
238,239,ENSG00000182165,ENST00000616845,lincRNA,-1,7,87341470,87345486,468,2
239,240,ENSG00000182257,ENST00000649288,lincRNA,-1,22,46049478,46054144,2817,2
240,241,ENSG00000182366,ENST00000330148,lincRNA,-1,8,375931,383174,4013,4
241,242,ENSG00000182366,ENST00000602608,lincRNA,-1,8,376243,377759,1517,1
242,243,ENSG00000182366,ENST00000523195,lincRNA,-1,8,379088,383174,925,4
243,244,ENSG00000182366,ENST00000613235,pseudogene,-1,8,377779,378637,858,2
244,245,ENSG00000182586,ENST00000584169,lincRNA,1,21,45234340,45257267,589,3
245,246,ENSG00000182586,ENST00000638500,lincRNA,1,21,45234340,45264548,1377,4
246,247,ENSG00000182586,ENST00000328344,lincRNA,1,21,45234352,45258730,530,3
247,248,ENSG00000182648,ENST00000651649,lincRNA,-1,7,156388922,156640599,2227,5
248,249,ENSG00000182648,ENST00000652322,lincRNA,-1,7,156432352,156640567,4165,7
249,250,ENSG00000182648,ENST00000426187,lincRNA,-1,7,156432523,156435833,432,2
250,251,ENSG00000182648,ENST00000436670,lincRNA,-1,7,156437789,156445588,2698,3
251,252,ENSG00000182648,ENST00000425712,lincRNA,-1,7,156472196,156603195,661,2
252,253,ENSG00000182648,ENST00000447933,lincRNA,-1,7,156472246,156605764,766,3
253,254,ENSG00000182648,ENST00000458645,lincRNA,-1,7,156584160,156640592,738,4
254,255,ENSG00000182648,ENST00000418309,lincRNA,-1,7,156603618,156640581,640,4
255,256,ENSG00000182648,ENST00000440711,lincRNA,-1,7,156605132,156605744,336,2
256,257,ENSG00000182648,ENST00000333319,lincRNA,-1,7,156638363,156640654,2292,1
257,258,ENSG00000182648,ENST00000435354,lincRNA,-1,7,156639432,156640563,545,2
258,259,ENSG00000182648,ENST00000624071,lincRNA,-1,7,156640004,156640654,651,1
259,260,ENSG00000182776,ENST00000375644,lincRNA,-1,X,52050860,52054255,2369,2
260,261,ENSG00000182824,ENST00000342888,lincRNA,1,22,18733914,18757894,1859,9
261,262,ENSG00000182824,ENST00000611876,lincRNA,1,22,18756348,18757906,1559,1
262,263,ENSG00000183146,ENST00000382764,lincRNA,-1,Y,21382954,21386360,878,4
263,264,ENSG00000183250,ENST00000397841,lincRNA,-1,21,44932814,44939913,2303,4
264,265,ENSG00000183250,ENST00000330551,lincRNA,-1,21,44934725,44939845,1033,4
265,266,ENSG00000183250,ENST00000615847,lincRNA,-1,21,44932814,44934973,1595,2
266,267,ENSG00000183385,ENST00000329684,lincRNA,1,Y,9691100,9693699,531,3
267,268,ENSG00000183385,ENST00000426035,lincRNA,1,Y,9691100,9693957,518,3
268,269,ENSG00000183470,ENST00000332558,lincRNA,1,7,132648794,132728769,1998,5
269,270,ENSG00000183470,ENST00000573229,lincRNA,1,7,132659531,132672294,601,4
270,271,ENSG00000183643,ENST00000624458,lincRNA,1,15,92471654,92501117,1749,3
271,272,ENSG00000183643,ENST00000556865,lincRNA,1,15,92471921,92500842,1245,3
272,273,ENSG00000183674,ENST00000496285,lincRNA,-1,6,10429255,10434822,1548,3
273,274,ENSG00000183674,ENST00000487130,lincRNA,-1,6,10429548,10434874,999,2
274,275,ENSG00000183674,ENST00000472178,lincRNA,-1,6,10429709,10434495,853,2
275,276,ENSG00000183674,ENST00000479822,lincRNA,-1,6,10429718,10434835,906,3
276,277,ENSG00000183674,ENST00000491317,lincRNA,-1,6,10429796,10434817,1228,4
277,278,ENSG00000184029,ENST00000398948,lincRNA,-1,21,37951425,38121339,777,4
278,279,ENSG00000184029,ENST00000328264,lincRNA,-1,21,38054011,38121360,1098,3
279,280,ENSG00000184029,ENST00000482032,lincRNA,-1,21,38093244,38121331,799,6
280,281,ENSG00000184224,ENST00000333139,lincRNA,-1,11,67602880,67606706,2431,3
281,282,ENSG00000184224,ENST00000446232,lincRNA,-1,11,67604053,67605964,1126,2
282,283,ENSG00000184274,ENST00000441947,lincRNA,-1,21,45300245,45305257,2323,3
283,284,ENSG00000184856,ENST00000419431,lincRNA,1,21,22098617,22116528,727,6
284,285,ENSG00000184991,ENST00000652128,lincRNA,-1,Y,21565092,21605081,1942,7
285,286,ENSG00000184991,ENST00000330337,lincRNA,-1,Y,21583600,21594666,659,6
286,287,ENSG00000185168,ENST00000332012,lincRNA,-1,17,81303771,81309248,2023,4
287,288,ENSG00000185168,ENST00000577000,lincRNA,-1,17,81305326,81307727,461,3
288,289,ENSG00000185186,ENST00000426942,lincRNA,-1,21,43462094,43464973,269,2
289,290,ENSG00000185186,ENST00000332440,lincRNA,-1,21,43462094,43478223,579,4
290,291,ENSG00000185186,ENST00000413721,lincRNA,-1,21,43462112,43464816,525,3
291,292,ENSG00000185186,ENST00000451543,lincRNA,-1,21,43462112,43464917,413,4
292,293,ENSG00000185186,ENST00000418516,lincRNA,-1,21,43462112,43464917,345,3
293,294,ENSG00000185186,ENST00000651216,lincRNA,-1,21,43466728,43478270,1342,4
294,295,ENSG00000185186,ENST00000427188,lincRNA,-1,21,43470433,43471592,967,2
295,296,ENSG00000185186,ENST00000441283,lincRNA,-1,21,43475925,43479534,448,4
296,297,ENSG00000185433,ENST00000439840,lincRNA,-1,21,25385820,25430828,1399,7
297,298,ENSG00000185433,ENST00000441013,lincRNA,-1,21,25385820,25431701,1380,4
298,299,ENSG00000185433,ENST00000332587,lincRNA,-1,21,25385820,25431701,1476,5
299,300,ENSG00000185433,ENST00000440205,lincRNA,-1,21,25396194,25424709,740,3
300,301,ENSG00000185700,ENST00000455570,lincRNA,-1,Y,6470773,6473630,518,3
301,302,ENSG00000185700,ENST00000328819,lincRNA,-1,Y,6471031,6473630,531,3
302,303,ENSG00000185847,ENST00000553177,lincRNA,1,12,110936585,110958208,524,3
303,304,ENSG00000185847,ENST00000548368,lincRNA,1,12,110936589,110943695,705,3
304,305,ENSG00000185847,ENST00000331096,lincRNA,1,12,110936602,110937451,364,2
305,306,ENSG00000185847,ENST00000547607,lincRNA,1,12,110936607,110956832,674,3
306,307,ENSG00000185904,ENST00000429940,lincRNA,1,10,42475543,42495336,2253,5
307,308,ENSG00000185904,ENST00000424751,lincRNA,1,10,42475628,42495336,2252,5
308,309,ENSG00000186594,ENST00000334146,lincRNA,-1,17,1711493,1716210,1383,4
309,310,ENSG00000186594,ENST00000574306,lincRNA,-1,17,1711511,1716251,2626,2
310,311,ENSG00000186594,ENST00000576749,lincRNA,-1,17,1711971,1716212,754,4
311,312,ENSG00000186594,ENST00000570416,lincRNA,-1,17,1712092,1716197,535,3
312,313,ENSG00000186594,ENST00000571595,lincRNA,-1,17,1712251,1716341,767,3
313,314,ENSG00000186594,ENST00000571091,lincRNA,-1,17,1712269,1716211,525,3
