,SNO,Gene ID,Transcript ID,Exon ID,Exon Start,Exon End,Exon Length
25,26,ENSG00000204241,ENST00000533922,ENSE00002190523,134046761,134046849,89
26,27,ENSG00000204241,ENST00000532706,ENSE00002188864,134037109,134037641,533
27,28,ENSG00000204241,ENST00000532706,ENSE00002143641,134039762,134039939,178
28,29,ENSG00000204241,ENST00000529070,ENSE00002162877,134038643,134038916,274
29,30,ENSG00000204241,ENST00000529070,ENSE00002186638,134039762,134041248,1487
30,31,ENSG00000204362,ENST00000316124,ENSE00001467217,17189783,17189930,148
31,32,ENSG00000204362,ENST00000316124,ENSE00001467216,17192965,17193165,201
32,33,ENSG00000204362,ENST00000316124,ENSE00001636012,17193291,17197617,4327
33,34,ENSG00000204362,ENST00000355909,ENSE00003789070,17189789,17189930,142
34,35,ENSG00000204362,ENST00000355909,ENSE00001467216,17192965,17193165,201
35,36,ENSG00000204362,ENST00000355909,ENSE00003788509,17195443,17195601,159
36,37,ENSG00000204362,ENST00000355909,ENSE00003788769,17196300,17196387,88
37,38,ENSG00000204754,ENST00000316124,ENSE00001473477,174994317,174995513,1197
38,39,ENSG00000204754,ENST00000316124,ENSE00001531955,174976449,174976532,84
39,40,ENSG00000204754,ENST00000316124,ENSE00001531954,174919082,174919725,644
40,41,ENSG00000205015,ENST00000316124,ENSE00001477143,89166383,89166499,117
41,42,ENSG00000205015,ENST00000316124,ENSE00001477141,89167137,89167306,170
42,43,ENSG00000205015,ENST00000316124,ENSE00001477140,89168109,89169147,1039
43,44,ENSG00000205106,ENST00000316124,ENSE00001478708,45771432,45771714,283
44,45,ENSG00000205106,ENST00000316124,ENSE00001478706,45771993,45772358,366
45,46,ENSG00000205632,ENST00000316124,ENSE00003788649,48866770,48866847,78
46,47,ENSG00000205632,ENST00000316124,ENSE00003785884,48885053,48885112,60
47,48,ENSG00000205632,ENST00000316124,ENSE00003789616,48887013,48887212,200
48,49,ENSG00000205632,ENST00000316124,ENSE00001591865,48892666,48893132,467
49,50,ENSG00000205632,ENST00000316124,ENSE00001487091,48894404,48894615,212
50,51,ENSG00000205632,ENST00000316124,ENSE00001487089,48894735,48896143,1409
51,52,ENSG00000205632,ENST00000316124,ENSE00001487088,48896798,48898386,1589
52,53,ENSG00000205634,ENST00000316124,ENSE00001487135,47629328,47631569,2242
53,54,ENSG00000205634,ENST00000316124,ENSE00001487130,47627438,47627577,140
54,55,ENSG00000205634,ENST00000316124,ENSE00001487128,47627162,47627242,81
55,56,ENSG00000205634,ENST00000316124,ENSE00001487126,47624468,47625633,1166
56,57,ENSG00000205634,ENST00000316124,ENSE00001487125,47622456,47622952,497
57,58,ENSG00000205634,ENST00000316124,ENSE00001487124,47621043,47621101,59
58,59,ENSG00000205634,ENST00000355909,ENSE00003709512,47629328,47629902,575
59,60,ENSG00000205634,ENST00000355909,ENSE00003711283,47627309,47627577,269
60,61,ENSG00000205634,ENST00000355909,ENSE00003708117,47625230,47625633,404
61,62,ENSG00000205634,ENST00000556163,ENSE00003709512,47629328,47629902,575
62,63,ENSG00000205634,ENST00000556163,ENSE00001487130,47627438,47627577,140
63,64,ENSG00000205634,ENST00000556163,ENSE00003704725,47625235,47625633,399
64,65,ENSG00000212743,ENST00000316124,ENSE00001509219,6350316,6352762,2447
65,66,ENSG00000214043,ENST00000316124,ENSE00002316216,126442481,126442663,183
66,67,ENSG00000214043,ENST00000316124,ENSE00001751188,126442966,126443027,62
67,68,ENSG00000214043,ENST00000316124,ENSE00003521874,126444885,126445053,169
68,69,ENSG00000214043,ENST00000316124,ENSE00003721549,126447979,126448061,83
69,70,ENSG00000214043,ENST00000316124,ENSE00002218082,126458057,126458301,245
70,71,ENSG00000214043,ENST00000355909,ENSE00001796657,126442481,126442588,108
71,72,ENSG00000214043,ENST00000355909,ENSE00001751188,126442966,126443027,62
72,73,ENSG00000214043,ENST00000355909,ENSE00003521874,126444885,126445053,169
73,74,ENSG00000214043,ENST00000355909,ENSE00003721549,126447979,126448061,83
74,75,ENSG00000214043,ENST00000355909,ENSE00002254581,126457933,126458541,609
75,76,ENSG00000214043,ENST00000355909,ENSE00003721249,126462718,126462825,108
76,77,ENSG00000214043,ENST00000355909,ENSE00003739449,126465714,126465989,276
77,78,ENSG00000214043,ENST00000355909,ENSE00001528279,126466549,126466727,179
78,79,ENSG00000214043,ENST00000355909,ENSE00001528275,126468758,126469107,350
79,80,ENSG00000214043,ENST00000355909,ENSE00001528271,126469732,126469885,154
80,81,ENSG00000214043,ENST00000355909,ENSE00001528269,126470661,126470815,155
81,82,ENSG00000214043,ENST00000355909,ENSE00001528266,126472586,126472790,205
82,83,ENSG00000214043,ENST00000556163,ENSE00002263698,126442526,126442588,63
83,84,ENSG00000214043,ENST00000556163,ENSE00003521874,126444885,126445053,169
84,85,ENSG00000214043,ENST00000556163,ENSE00003721549,126447979,126448061,83
85,86,ENSG00000214043,ENST00000556163,ENSE00002277729,126458341,126458541,201
86,87,ENSG00000214043,ENST00000556163,ENSE00002297023,126458892,126458975,84
87,88,ENSG00000214043,ENST00000556163,ENSE00002231109,126460787,126461000,214
88,89,ENSG00000214043,ENST00000556163,ENSE00003721249,126462718,126462825,108
89,90,ENSG00000214043,ENST00000556163,ENSE00003739449,126465714,126465989,276
90,91,ENSG00000214043,ENST00000556163,ENSE00001528279,126466549,126466727,179
91,92,ENSG00000214043,ENST00000556163,ENSE00001528275,126468758,126469107,350
92,93,ENSG00000214043,ENST00000556163,ENSE00002275572,126469732,126469806,75
93,94,ENSG00000214043,ENST00000554197,ENSE00002263698,126442526,126442588,63
94,95,ENSG00000214043,ENST00000554197,ENSE00001751188,126442966,126443027,62
95,96,ENSG00000214043,ENST00000554197,ENSE00003521874,126444885,126445053,169
96,97,ENSG00000214043,ENST00000554197,ENSE00003721549,126447979,126448061,83
97,98,ENSG00000214043,ENST00000554197,ENSE00003712408,126457933,126458130,198
98,99,ENSG00000214043,ENST00000554197,ENSE00003721249,126462718,126462825,108
99,100,ENSG00000214043,ENST00000554197,ENSE00003739449,126465714,126465989,276
100,101,ENSG00000214043,ENST00000554197,ENSE00001528279,126466549,126466727,179
101,102,ENSG00000214043,ENST00000554197,ENSE00001528275,126468758,126469107,350
102,103,ENSG00000214043,ENST00000554197,ENSE00002275572,126469732,126469806,75
103,104,ENSG00000214043,ENST00000533922,ENSE00003640063,126444881,126445053,173
104,105,ENSG00000214043,ENST00000533922,ENSE00003721549,126447979,126448061,83
105,106,ENSG00000214043,ENST00000533922,ENSE00003712408,126457933,126458130,198
106,107,ENSG00000214043,ENST00000533922,ENSE00003721249,126462718,126462825,108
107,108,ENSG00000214043,ENST00000533922,ENSE00003739449,126465714,126465989,276
108,109,ENSG00000214043,ENST00000533922,ENSE00001528279,126466549,126466727,179
109,110,ENSG00000214043,ENST00000533922,ENSE00001528275,126468758,126469107,350
110,111,ENSG00000214043,ENST00000533922,ENSE00002275572,126469732,126469806,75
111,112,ENSG00000215244,ENST00000316124,ENSE00001540521,6277687,6277807,121
112,113,ENSG00000215244,ENST00000316124,ENSE00001540519,6326546,6326642,97
113,114,ENSG00000215244,ENST00000316124,ENSE00001540518,6327932,6329810,1879
114,115,ENSG00000215244,ENST00000316124,ENSE00001540517,6330953,6331016,64
115,116,ENSG00000215244,ENST00000316124,ENSE00001540516,6331211,6331306,96
116,117,ENSG00000215244,ENST00000316124,ENSE00001540514,6331501,6331603,103
117,118,ENSG00000215244,ENST00000316124,ENSE00001540513,6335257,6335982,726
118,119,ENSG00000218357,ENST00000316124,ENSE00001552674,47486730,47487111,382
119,120,ENSG00000218357,ENST00000316124,ENSE00001550433,47463318,47463388,71
120,121,ENSG00000218357,ENST00000316124,ENSE00001562314,47461299,47461829,531
121,122,ENSG00000218357,ENST00000355909,ENSE00001859164,47486730,47487088,359
122,123,ENSG00000218357,ENST00000355909,ENSE00001830439,47463467,47463572,106
123,124,ENSG00000223381,ENST00000316124,ENSE00002431626,108710518,108710535,18
124,125,ENSG00000223381,ENST00000316124,ENSE00001647394,108761569,108761619,51
125,126,ENSG00000223381,ENST00000316124,ENSE00001744749,108838953,108839363,411
126,127,ENSG00000223581,ENST00000316124,ENSE00001758491,7097152,7097353,202
127,128,ENSG00000223581,ENST00000316124,ENSE00001641917,7097442,7097675,234
128,129,ENSG00000223993,ENST00000316124,ENSE00001787491,85432403,85432515,113
129,130,ENSG00000223993,ENST00000316124,ENSE00001785094,85431943,85432232,290
130,131,ENSG00000224164,ENST00000316124,ENSE00001743036,24742302,24742346,45
131,132,ENSG00000224164,ENST00000316124,ENSE00001719383,24748996,24749148,153
132,133,ENSG00000224164,ENST00000316124,ENSE00001787704,24751565,24751921,357
133,134,ENSG00000224164,ENST00000355909,ENSE00001708728,24749067,24749148,82
134,135,ENSG00000224164,ENST00000355909,ENSE00001806171,24751563,24751689,127
135,136,ENSG00000224173,ENST00000316124,ENSE00001660073,67562067,67562247,181
136,137,ENSG00000224173,ENST00000316124,ENSE00001612888,67565577,67565710,134
137,138,ENSG00000224173,ENST00000316124,ENSE00001785046,67566776,67566972,197
138,139,ENSG00000224173,ENST00000316124,ENSE00001645571,67568008,67568156,149
139,140,ENSG00000224173,ENST00000316124,ENSE00001651082,67570002,67570100,99
140,141,ENSG00000224173,ENST00000316124,ENSE00001729186,67573797,67574044,248
141,142,ENSG00000224190,ENST00000316124,ENSE00001783715,128912879,128912917,39
142,143,ENSG00000224190,ENST00000316124,ENSE00001789171,128914373,128914405,33
143,144,ENSG00000224190,ENST00000316124,ENSE00001685360,128914759,128914896,138
144,145,ENSG00000224190,ENST00000316124,ENSE00001801032,128915001,128915165,165
145,146,ENSG00000224190,ENST00000316124,ENSE00001739100,128916197,128916271,75
146,147,ENSG00000224222,ENST00000316124,ENSE00001660604,70007755,70007836,82
147,148,ENSG00000224222,ENST00000316124,ENSE00001601346,70007457,70007669,213
148,149,ENSG00000224222,ENST00000316124,ENSE00001804261,69994626,69994854,229
149,150,ENSG00000224265,ENST00000316124,ENSE00001726835,43323665,43323700,36
150,151,ENSG00000224265,ENST00000316124,ENSE00001611190,43327371,43327462,92
151,152,ENSG00000224265,ENST00000316124,ENSE00001595715,43327670,43327932,263
152,153,ENSG00000224535,ENST00000316124,ENSE00001769601,212467667,212467743,77
153,154,ENSG00000224535,ENST00000316124,ENSE00001732188,212466816,212467097,282
154,155,ENSG00000224565,ENST00000316124,ENSE00001642710,47412070,47412327,258
155,156,ENSG00000224565,ENST00000316124,ENSE00001718760,47411268,47411393,126
156,157,ENSG00000224565,ENST00000316124,ENSE00001630335,47397149,47397345,197
157,158,ENSG00000224565,ENST00000316124,ENSE00001609453,47391929,47392097,169
158,159,ENSG00000224711,ENST00000316124,ENSE00001757366,7347467,7347676,210
159,160,ENSG00000224711,ENST00000316124,ENSE00001760666,7360621,7360805,185
160,161,ENSG00000224711,ENST00000316124,ENSE00001714909,7367280,7367632,353
161,162,ENSG00000224714,ENST00000316124,ENSE00001738682,64924237,64924518,282
162,163,ENSG00000224714,ENST00000316124,ENSE00001645294,64901136,64903425,2290
163,164,ENSG00000224788,ENST00000316124,ENSE00001684554,10058722,10058798,77
164,165,ENSG00000224788,ENST00000316124,ENSE00001690376,10059291,10059469,179
165,166,ENSG00000224788,ENST00000316124,ENSE00001595683,10061652,10061763,112
166,167,ENSG00000224788,ENST00000316124,ENSE00001803737,10063296,10063502,207
167,168,ENSG00000224893,ENST00000316124,ENSE00001690141,152831854,152831913,60
168,169,ENSG00000224893,ENST00000316124,ENSE00001801897,152805006,152805128,123
169,170,ENSG00000224893,ENST00000316124,ENSE00001750282,152794496,152794754,259
170,171,ENSG00000224893,ENST00000355909,ENSE00001801897,152805006,152805128,123
171,172,ENSG00000224893,ENST00000355909,ENSE00001594129,152804753,152804873,121
172,173,ENSG00000224893,ENST00000556163,ENSE00003850417,152875707,152875989,283
173,174,ENSG00000224893,ENST00000556163,ENSE00003846527,152831854,152831936,83
174,175,ENSG00000224893,ENST00000556163,ENSE00003843682,152831053,152831268,216
175,176,ENSG00000224893,ENST00000556163,ENSE00003844229,152830497,152830725,229
176,177,ENSG00000224943,ENST00000316124,ENSE00001618028,159466321,159466623,303
177,178,ENSG00000224943,ENST00000316124,ENSE00001601651,159468080,159468156,77
178,179,ENSG00000224943,ENST00000316124,ENSE00001800931,159482904,159483376,473
179,180,ENSG00000224977,ENST00000316124,ENSE00001664242,174022509,174022640,132
180,181,ENSG00000224977,ENST00000316124,ENSE00001621037,174022783,174022985,203
181,182,ENSG00000225334,ENST00000316124,ENSE00003841565,224766352,224767153,802
182,183,ENSG00000225334,ENST00000316124,ENSE00003846303,224772710,224773053,344
183,184,ENSG00000225334,ENST00000316124,ENSE00003842031,224773173,224773340,168
184,185,ENSG00000225334,ENST00000355909,ENSE00001721604,224766900,224767153,254
185,186,ENSG00000225334,ENST00000355909,ENSE00001726536,224773173,224773341,169
186,187,ENSG00000225413,ENST00000316124,ENSE00001647995,23513276,23513602,327
187,188,ENSG00000225413,ENST00000316124,ENSE00001711085,23512494,23512643,150
188,189,ENSG00000225657,ENST00000316124,ENSE00001648863,56577563,56577612,50
189,190,ENSG00000225657,ENST00000316124,ENSE00001676783,56577742,56577950,209
190,191,ENSG00000225657,ENST00000316124,ENSE00001786263,56579391,56579553,163
191,192,ENSG00000225657,ENST00000316124,ENSE00001777764,56580201,56580335,135
192,193,ENSG00000225657,ENST00000316124,ENSE00001682924,56595063,56595130,68
193,194,ENSG00000225657,ENST00000316124,ENSE00001680102,56596054,56596126,73
194,195,ENSG00000225657,ENST00000355909,ENSE00001775822,56596310,56596488,179
195,196,ENSG00000225657,ENST00000355909,ENSE00001674851,56598503,56598621,119
196,197,ENSG00000225759,ENST00000316124,ENSE00001726986,37622829,37623119,291
197,198,ENSG00000225759,ENST00000316124,ENSE00001728592,37622091,37622200,110
198,199,ENSG00000225759,ENST00000316124,ENSE00001792165,37619298,37619439,142
199,200,ENSG00000225768,ENST00000316124,ENSE00001746219,104480133,104480274,142
200,201,ENSG00000225768,ENST00000316124,ENSE00001689214,104476902,104477057,156
201,202,ENSG00000225768,ENST00000316124,ENSE00001725837,104474939,104475653,715
202,203,ENSG00000225857,ENST00000316124,ENSE00001619070,180906651,180906730,80
203,204,ENSG00000225857,ENST00000316124,ENSE00001732933,180908203,180908291,89
204,205,ENSG00000225857,ENST00000316124,ENSE00001656341,180908692,180908771,80
205,206,ENSG00000225857,ENST00000316124,ENSE00001792505,180908873,180909166,294
206,207,ENSG00000225857,ENST00000355909,ENSE00001608414,180907801,180908005,205
207,208,ENSG00000225857,ENST00000355909,ENSE00001732933,180908203,180908291,89
208,209,ENSG00000225857,ENST00000355909,ENSE00001656341,180908692,180908771,80
209,210,ENSG00000225857,ENST00000355909,ENSE00001705372,180908873,180908942,70
210,211,ENSG00000225930,ENST00000316124,ENSE00003836252,30195809,30196114,306
211,212,ENSG00000225930,ENST00000316124,ENSE00002627771,30199275,30199331,57
212,213,ENSG00000225930,ENST00000316124,ENSE00003837862,30216768,30217552,785
213,214,ENSG00000225930,ENST00000355909,ENSE00002580815,30196036,30196114,79
214,215,ENSG00000225930,ENST00000355909,ENSE00002627771,30199275,30199331,57
215,216,ENSG00000225930,ENST00000355909,ENSE00002583715,30210417,30214540,4124
216,217,ENSG00000225930,ENST00000556163,ENSE00001799959,30210408,30210806,399
217,218,ENSG00000225948,ENST00000316124,ENSE00001599795,6618716,6618776,61
218,219,ENSG00000225948,ENST00000316124,ENSE00001798956,6620918,6621173,256
219,220,ENSG00000225948,ENST00000316124,ENSE00001782338,6621710,6621862,153
220,221,ENSG00000225948,ENST00000316124,ENSE00001669175,6625317,6625346,30
221,222,ENSG00000226005,ENST00000316124,ENSE00003831571,3912027,3912176,150
222,223,ENSG00000226005,ENST00000316124,ENSE00003840222,3932656,3932972,317
223,224,ENSG00000226005,ENST00000316124,ENSE00003831586,3934520,3934627,108
224,225,ENSG00000226005,ENST00000316124,ENSE00003837297,3935679,3935808,130
225,226,ENSG00000226005,ENST00000355909,ENSE00001720291,3934519,3934974,456
226,227,ENSG00000226005,ENST00000355909,ENSE00001664429,3935679,3935813,135
227,228,ENSG00000226133,ENST00000316124,ENSE00003789639,48050659,48050813,155
228,229,ENSG00000226133,ENST00000316124,ENSE00003786320,48053546,48053747,202
229,230,ENSG00000226133,ENST00000316124,ENSE00001604783,48054211,48054266,56
230,231,ENSG00000226133,ENST00000316124,ENSE00001733807,48055070,48055196,127
231,232,ENSG00000226133,ENST00000316124,ENSE00003790360,48083947,48084032,86
232,233,ENSG00000226133,ENST00000316124,ENSE00003784984,48091620,48091736,117
233,234,ENSG00000226133,ENST00000355909,ENSE00001631082,48053545,48053747,203
234,235,ENSG00000226133,ENST00000355909,ENSE00001604783,48054211,48054266,56
235,236,ENSG00000226133,ENST00000355909,ENSE00001733807,48055070,48055196,127
236,237,ENSG00000226133,ENST00000355909,ENSE00001607064,48056650,48056776,127
237,238,ENSG00000226133,ENST00000556163,ENSE00001772350,48054209,48054266,58
238,239,ENSG00000226133,ENST00000556163,ENSE00001733807,48055070,48055196,127
239,240,ENSG00000226133,ENST00000556163,ENSE00001721913,48066598,48067201,604
240,241,ENSG00000226140,ENST00000316124,ENSE00001789026,16278701,16278749,49
241,242,ENSG00000226140,ENST00000316124,ENSE00001711630,16283730,16283908,179
242,243,ENSG00000226140,ENST00000316124,ENSE00001628143,16288842,16289048,207
243,244,ENSG00000226140,ENST00000355909,ENSE00001789026,16278701,16278749,49
244,245,ENSG00000226140,ENST00000355909,ENSE00001711630,16283730,16283908,179
245,246,ENSG00000226140,ENST00000355909,ENSE00001787498,16288842,16288901,60
246,247,ENSG00000226140,ENST00000355909,ENSE00001794526,16295689,16295858,170
247,248,ENSG00000226203,ENST00000316124,ENSE00001637826,25955812,25955869,58
248,249,ENSG00000226203,ENST00000316124,ENSE00001605710,25956086,25956210,125
249,250,ENSG00000226203,ENST00000316124,ENSE00001762120,25963062,25963196,135
250,251,ENSG00000226203,ENST00000316124,ENSE00001623186,25965003,25969288,4286
251,252,ENSG00000226412,ENST00000316124,ENSE00001654242,33599858,33600040,183
252,253,ENSG00000226412,ENST00000316124,ENSE00001644723,33594120,33594211,92
253,254,ENSG00000226412,ENST00000316124,ENSE00001661247,33590622,33590769,148
254,255,ENSG00000226412,ENST00000316124,ENSE00001668786,33578931,33579369,439
255,256,ENSG00000226581,ENST00000316124,ENSE00001738548,63900823,63901038,216
256,257,ENSG00000226581,ENST00000316124,ENSE00001662955,63904612,63904738,127
257,258,ENSG00000226581,ENST00000316124,ENSE00001771791,63914124,63914217,94
258,259,ENSG00000226581,ENST00000316124,ENSE00001669410,63917795,63917994,200
259,260,ENSG00000226676,ENST00000316124,ENSE00001684752,79631982,79632188,207
260,261,ENSG00000226676,ENST00000316124,ENSE00001803389,79630836,79630934,99
261,262,ENSG00000226676,ENST00000316124,ENSE00001610555,79628757,79629056,300
262,263,ENSG00000226676,ENST00000355909,ENSE00001659160,79631982,79632186,205
263,264,ENSG00000226676,ENST00000355909,ENSE00001658319,79630755,79630934,180
264,265,ENSG00000226741,ENST00000316124,ENSE00001630826,27310651,27315049,4399
265,266,ENSG00000226741,ENST00000316124,ENSE00001766674,27316804,27317456,653
266,267,ENSG00000226762,ENST00000316124,ENSE00001734594,3257144,3257932,789
267,268,ENSG00000226762,ENST00000316124,ENSE00001805742,3256460,3256557,98
268,269,ENSG00000226762,ENST00000316124,ENSE00001655629,3244567,3244659,93
269,270,ENSG00000226762,ENST00000316124,ENSE00001613904,3240127,3240502,376
270,271,ENSG00000226762,ENST00000316124,ENSE00003833115,3239439,3239897,459
271,272,ENSG00000226762,ENST00000316124,ENSE00003839569,3238261,3238611,351
272,273,ENSG00000226762,ENST00000316124,ENSE00003831431,3232388,3232582,195
273,274,ENSG00000226822,ENST00000316124,ENSE00003786974,108040263,108040379,117
274,275,ENSG00000226822,ENST00000316124,ENSE00003787775,108041738,108041924,187
275,276,ENSG00000226822,ENST00000316124,ENSE00001767955,108071484,108071637,154
276,277,ENSG00000226822,ENST00000316124,ENSE00001602944,108072549,108072697,149
277,278,ENSG00000226822,ENST00000316124,ENSE00001778178,108074393,108074519,127
278,279,ENSG00000226822,ENST00000355909,ENSE00003785138,108050379,108050735,357
279,280,ENSG00000226822,ENST00000355909,ENSE00003787571,108052311,108052461,151
280,281,ENSG00000226822,ENST00000355909,ENSE00001767955,108071484,108071637,154
281,282,ENSG00000226822,ENST00000355909,ENSE00001602944,108072549,108072697,149
282,283,ENSG00000226822,ENST00000355909,ENSE00003790300,108074393,108076020,1628
283,284,ENSG00000226822,ENST00000556163,ENSE00003786658,108050381,108050735,355
284,285,ENSG00000226822,ENST00000556163,ENSE00003787924,108071484,108072022,539
285,286,ENSG00000226822,ENST00000554197,ENSE00003787767,108059044,108059448,405
286,287,ENSG00000226822,ENST00000554197,ENSE00001767955,108071484,108071637,154
287,288,ENSG00000226822,ENST00000554197,ENSE00001602944,108072549,108072697,149
288,289,ENSG00000226822,ENST00000554197,ENSE00003789994,108074393,108074518,126
289,290,ENSG00000226822,ENST00000533922,ENSE00001688225,108072371,108072697,327
290,291,ENSG00000226822,ENST00000533922,ENSE00001724922,108074393,108074493,101
291,292,ENSG00000226828,ENST00000316124,ENSE00001684806,243917402,243917526,125
292,293,ENSG00000226828,ENST00000316124,ENSE00001634803,243978410,243978519,110
293,294,ENSG00000226828,ENST00000316124,ENSE00001591471,244003383,244003500,118
294,295,ENSG00000226828,ENST00000316124,ENSE00001763960,244005058,244005158,101
295,296,ENSG00000226828,ENST00000316124,ENSE00001747796,244010021,244010092,72
296,297,ENSG00000226828,ENST00000316124,ENSE00001596391,244010697,244010920,224
297,298,ENSG00000226828,ENST00000316124,ENSE00001606522,244024966,244025069,104
298,299,ENSG00000226828,ENST00000316124,ENSE00001787621,244027236,244027434,199
299,300,ENSG00000226828,ENST00000316124,ENSE00001643108,244041427,244041555,129
300,301,ENSG00000226828,ENST00000316124,ENSE00001699653,244043423,244043549,127
301,302,ENSG00000226828,ENST00000316124,ENSE00001735448,244045228,244045291,64
302,303,ENSG00000226828,ENST00000316124,ENSE00001806092,244046892,244047317,426
303,304,ENSG00000227016,ENST00000316124,ENSE00003611677,72765031,72765080,50
304,305,ENSG00000227016,ENST00000316124,ENSE00001687483,72775272,72775544,273
305,306,ENSG00000227016,ENST00000316124,ENSE00001767865,72778273,72778357,85
306,307,ENSG00000227016,ENST00000316124,ENSE00001743069,72780107,72780293,187
307,308,ENSG00000227016,ENST00000316124,ENSE00003787403,72783670,72783883,214
308,309,ENSG00000227016,ENST00000316124,ENSE00003787350,72786627,72786981,355
309,310,ENSG00000227016,ENST00000316124,ENSE00003787191,72791065,72791282,218
310,311,ENSG00000227082,ENST00000316124,ENSE00001681576,121396754,121397304,551
311,312,ENSG00000227082,ENST00000316124,ENSE00001790536,121460019,121463129,3111
312,313,ENSG00000227082,ENST00000355909,ENSE00003839544,121396960,121397304,345
313,314,ENSG00000227082,ENST00000355909,ENSE00003831591,121397621,121397787,167
314,315,ENSG00000227082,ENST00000355909,ENSE00003840850,121427982,121428064,83
315,316,ENSG00000227082,ENST00000355909,ENSE00003834470,121460019,121463429,3411
316,317,ENSG00000227082,ENST00000556163,ENSE00003541121,121412719,121412752,34
317,318,ENSG00000227082,ENST00000556163,ENSE00001648402,121425064,121425212,149
318,319,ENSG00000227082,ENST00000556163,ENSE00001794548,121427964,121428064,101
319,320,ENSG00000227082,ENST00000556163,ENSE00001642435,121429030,121429274,245
320,321,ENSG00000227121,ENST00000316124,ENSE00001801947,52975740,52975815,76
321,322,ENSG00000227121,ENST00000316124,ENSE00001766874,52974665,52974800,136
322,323,ENSG00000227121,ENST00000316124,ENSE00001799433,52973488,52973690,203
323,324,ENSG00000227306,ENST00000316124,ENSE00001667735,1688297,1688329,33
324,325,ENSG00000227306,ENST00000316124,ENSE00001772908,1688503,1689056,554
325,326,ENSG00000227308,ENST00000316124,ENSE00003695958,219685381,219687345,1965
326,327,ENSG00000227308,ENST00000355909,ENSE00003696699,219685492,219685609,118
327,328,ENSG00000227308,ENST00000355909,ENSE00003701069,219737454,219737937,484
328,329,ENSG00000227308,ENST00000556163,ENSE00001787629,219686987,219687052,66
329,330,ENSG00000227308,ENST00000556163,ENSE00001736787,219714257,219714686,430
330,331,ENSG00000227308,ENST00000554197,ENSE00001728063,219730110,219730181,72
331,332,ENSG00000227308,ENST00000554197,ENSE00001744556,219737454,219737742,289
332,333,ENSG00000227313,ENST00000316124,ENSE00001753869,35898720,35898963,244
333,334,ENSG00000227313,ENST00000316124,ENSE00001723957,35896874,35897497,624
334,335,ENSG00000227740,ENST00000316124,ENSE00001619283,175920456,175920513,58
335,336,ENSG00000227740,ENST00000316124,ENSE00001771231,175908547,175908770,224
336,337,ENSG00000227740,ENST00000316124,ENSE00001678929,175904762,175905136,375
337,338,ENSG00000228189,ENST00000316124,ENSE00001619668,88651961,88652136,176
338,339,ENSG00000228189,ENST00000316124,ENSE00001752682,88646921,88647660,740
339,340,ENSG00000228189,ENST00000316124,ENSE00001758977,88628257,88628346,90
340,341,ENSG00000228189,ENST00000316124,ENSE00001796133,88627189,88627402,214
341,342,ENSG00000228189,ENST00000355909,ENSE00002219649,88651961,88652160,200
342,343,ENSG00000228189,ENST00000355909,ENSE00002305734,88647179,88647660,482
343,344,ENSG00000228215,ENST00000316124,ENSE00001680123,191875495,191875700,206
344,345,ENSG00000228215,ENST00000316124,ENSE00001608835,191964394,191964489,96
345,346,ENSG00000228215,ENST00000316124,ENSE00001686752,191965322,191965413,92
346,347,ENSG00000228215,ENST00000316124,ENSE00001696584,191975971,191976084,114
