,SNO,Gene ID,Transcript ID,Transcript Start,Transcript End,Transcript Length,No. of Exons
83,84,ENSG00000227082,ENST00000650414,121396960,121463429,4006,4
84,85,ENSG00000227082,ENST00000445260,121412719,121429274,529,4
85,86,ENSG00000227121,ENST00000444155,52973488,52975815,415,3
86,87,ENSG00000227306,ENST00000436539,1688297,1689056,587,2
87,88,ENSG00000227308,ENST00000607654,219685381,219687345,1965,1
88,89,ENSG00000227308,ENST00000606673,219685492,219737937,602,2
89,90,ENSG00000227308,ENST00000416861,219686987,219714686,496,2
90,91,ENSG00000227308,ENST00000442416,219730110,219737742,361,2
91,92,ENSG00000227313,ENST00000442783,35896874,35898963,868,2
92,93,ENSG00000227740,ENST00000426575,175904762,175920513,657,3
93,94,ENSG00000228189,ENST00000418343,88627189,88652136,1220,4
94,95,ENSG00000228189,ENST00000544644,88647179,88652160,682,2
95,96,ENSG00000228215,ENST00000430776,191875495,192011260,2051,6
96,97,ENSG00000228482,ENST00000445589,6731258,6736136,932,3
97,98,ENSG00000228636,ENST00000419836,9758783,9759237,344,2
98,99,ENSG00000228636,ENST00000647601,9758783,9878060,613,3
99,100,ENSG00000228951,ENST00000427341,5616862,5618161,657,3
100,101,ENSG00000229201,ENST00000435832,90510910,90533472,231,4
101,102,ENSG00000229274,ENST00000436804,29497509,29510556,877,4
102,103,ENSG00000229291,ENST00000443207,235957879,235971825,190,2
103,104,ENSG00000229466,ENST00000447757,105808775,105819197,456,3
104,105,ENSG00000229484,ENST00000416696,12527724,12528420,438,2
105,106,ENSG00000229606,ENST00000441660,61079140,61080179,391,2
106,107,ENSG00000229611,ENST00000412339,6704471,6707780,422,2
107,108,ENSG00000229649,ENST00000422661,101252821,101263550,2222,3
108,109,ENSG00000230023,ENST00000439059,24200240,24211693,1849,3
109,110,ENSG00000230109,ENST00000433460,21340233,21372950,439,5
110,111,ENSG00000230131,ENST00000448347,123356450,123517708,831,5
111,112,ENSG00000230131,ENST00000448671,123449353,123489336,574,2
112,113,ENSG00000230133,ENST00000457274,24199767,24224588,2376,4
113,114,ENSG00000230138,ENST00000449958,53366668,53368245,850,2
114,115,ENSG00000230324,ENST00000412672,39213777,39224748,1518,4
115,116,ENSG00000230400,ENST00000634603,22668484,22685295,1377,3
116,117,ENSG00000230400,ENST00000441568,22676072,22684878,2320,2
117,118,ENSG00000230400,ENST00000437696,22683160,22685344,1067,3
118,119,ENSG00000230573,ENST00000413339,3833950,3834728,536,2
119,120,ENSG00000230720,ENST00000416310,30723251,30723740,408,2
120,121,ENSG00000230852,ENST00000444796,84019204,84026100,2300,4
121,122,ENSG00000231082,ENST00000436500,80649797,80653732,370,3
122,123,ENSG00000231253,ENST00000452505,33108529,33116294,550,4
123,124,ENSG00000231326,ENST00000418524,2169140,2189474,587,5
124,125,ENSG00000231326,ENST00000436003,2169147,2176432,196,2
125,126,ENSG00000231483,ENST00000425246,5608475,5610793,613,5
126,127,ENSG00000231510,ENST00000443270,5086459,5090899,449,4
127,128,ENSG00000231529,ENST00000446169,220485104,220487043,390,2
128,129,ENSG00000231680,ENST00000457725,64394342,64395831,985,2
129,130,ENSG00000231718,ENST00000452199,199148598,199393307,2296,4
130,131,ENSG00000231966,ENST00000442108,179829609,179836124,353,2
131,132,ENSG00000232190,ENST00000430050,87057784,87063991,4083,3
132,133,ENSG00000232265,ENST00000594189,148162360,148163840,1278,2
133,134,ENSG00000232265,ENST00000432038,148162710,148163413,590,2
134,135,ENSG00000232265,ENST00000411978,148162813,148163413,452,2
135,136,ENSG00000232265,ENST00000594699,148162877,148164589,555,3
136,137,ENSG00000232265,ENST00000595367,148162877,148174858,835,3
137,138,ENSG00000232265,ENST00000597931,148162877,148174884,810,3
138,139,ENSG00000232265,ENST00000599864,148162877,148174897,839,3
139,140,ENSG00000232265,ENST00000595668,148162877,148174928,795,2
140,141,ENSG00000232265,ENST00000618809,148162877,148186630,657,3
141,142,ENSG00000232265,ENST00000608244,148162921,148163212,101,2
142,143,ENSG00000232453,ENST00000423408,58882868,58896665,1211,4
143,144,ENSG00000232453,ENST00000634986,58882872,58885662,1087,3
144,145,ENSG00000232453,ENST00000635492,58882872,58903679,1293,5
145,146,ENSG00000232453,ENST00000634763,58882874,58903747,1266,4
146,147,ENSG00000232453,ENST00000427292,58895845,58896703,219,2
147,148,ENSG00000232527,ENST00000452399,144227030,144250288,549,3
148,149,ENSG00000232527,ENST00000457390,144245027,144245821,425,2
149,150,ENSG00000232527,ENST00000294715,144245238,144250279,268,3
150,151,ENSG00000232527,ENST00000420597,144245686,144250288,199,2
151,152,ENSG00000232591,ENST00000420395,7445558,7471942,557,4
152,153,ENSG00000232655,ENST00000415702,44443327,44444788,630,3
153,154,ENSG00000233200,ENST00000439198,35219894,35230598,380,2
154,155,ENSG00000233277,ENST00000428529,43894720,43895468,524,2
155,156,ENSG00000233321,ENST00000413993,3486894,3502838,832,5
156,157,ENSG00000233521,ENST00000444114,27221349,27224727,637,3
157,158,ENSG00000233521,ENST00000418271,27223297,27224657,552,3
158,159,ENSG00000233521,ENST00000650737,27223299,27224478,607,2
159,160,ENSG00000233590,ENST00000444086,68233251,68242379,465,3
160,161,ENSG00000233590,ENST00000429634,68233253,68235433,417,2
161,162,ENSG00000233643,ENST00000441001,61781745,61821246,510,5
162,163,ENSG00000233945,ENST00000441776,83672406,83675439,351,3
163,164,ENSG00000234170,ENST00000414107,2446253,2447352,756,2
164,165,ENSG00000234170,ENST00000441907,2446253,2447352,764,2
165,166,ENSG00000234170,ENST00000439973,2446258,2447352,714,2
166,167,ENSG00000234265,ENST00000432244,12950338,12951627,601,2
167,168,ENSG00000234476,ENST00000428642,225447243,225465343,397,2
168,169,ENSG00000234476,ENST00000433058,225447991,225465283,656,2
169,170,ENSG00000234476,ENST00000651771,225447998,225465347,1013,4
170,171,ENSG00000234752,ENST00000447297,8897989,8914596,366,4
171,172,ENSG00000234756,ENST00000442753,62289521,62304033,706,3
172,173,ENSG00000234864,ENST00000439913,42696035,42706453,3965,3
173,174,ENSG00000234928,ENST00000449711,23433564,23435071,917,3
174,175,ENSG00000234928,ENST00000428415,23434171,23434731,337,2
175,176,ENSG00000234944,ENST00000421320,42871521,42874060,1714,2
176,177,ENSG00000234952,ENST00000445647,117735313,117736407,244,2
177,178,ENSG00000234973,ENST00000423349,43777562,43778626,334,2
178,179,ENSG00000234973,ENST00000419406,43777562,43778825,408,2
179,180,ENSG00000235295,ENST00000443243,18029385,18037968,2379,2
180,181,ENSG00000235343,ENST00000422917,16746869,16748645,1241,2
181,182,ENSG00000235446,ENST00000650525,69215835,69249477,792,4
182,183,ENSG00000235446,ENST00000439878,69243372,69249423,434,2
183,184,ENSG00000235645,ENST00000434931,69684899,69692452,576,4
184,185,ENSG00000235741,ENST00000433377,54516412,54517259,683,2
185,186,ENSG00000235887,ENST00000456469,143499187,143500512,408,3
186,187,ENSG00000236117,ENST00000450750,43400331,43409681,951,4
187,188,ENSG00000236303,ENST00000647943,130213488,130216381,942,2
188,189,ENSG00000236303,ENST00000648275,130213527,130483193,816,2
189,190,ENSG00000236303,ENST00000439421,130439067,130483154,297,2
190,191,ENSG00000236373,ENST00000418379,90402521,90540805,981,7
191,192,ENSG00000236436,ENST00000447260,20859771,20861661,1498,2
192,193,ENSG00000236464,ENST00000420391,26161834,26164303,188,2
193,194,ENSG00000236648,ENST00000430540,17717687,17749978,610,4
194,195,ENSG00000236714,ENST00000652722,142745587,142759941,1351,5
195,196,ENSG00000236714,ENST00000432677,142745600,142760998,2237,4
196,197,ENSG00000236769,ENST00000649397,43900891,43912331,1766,3
197,198,ENSG00000236769,ENST00000438454,43901365,43912326,493,2
198,199,ENSG00000236799,ENST00000433085,114994657,114996593,344,3
199,200,ENSG00000236908,ENST00000432994,3318718,3325343,3004,2
200,201,ENSG00000236908,ENST00000543036,3319441,3325340,641,3
201,202,ENSG00000236975,ENST00000433734,229092815,229094905,599,2
202,203,ENSG00000237128,ENST00000421132,28433008,28495813,273,3
203,204,ENSG00000237435,ENST00000442558,95937901,96022866,479,2
204,205,ENSG00000237435,ENST00000593954,95991986,96022781,683,4
205,206,ENSG00000237435,ENST00000634962,95991987,95995844,967,3
206,207,ENSG00000237435,ENST00000413825,95991989,96022880,943,3
207,208,ENSG00000237435,ENST00000609411,95992012,96006329,657,5
208,209,ENSG00000237435,ENST00000624750,95992012,96022778,766,5
209,210,ENSG00000237435,ENST00000595613,95992026,96022779,670,6
210,211,ENSG00000237435,ENST00000623830,95992026,96022781,868,6
211,212,ENSG00000237435,ENST00000625774,95992026,96022781,733,2
212,213,ENSG00000237435,ENST00000627733,95992026,96022781,569,3
213,214,ENSG00000237435,ENST00000595188,95992032,96006265,737,4
214,215,ENSG00000237435,ENST00000451675,95992068,96022866,799,5
215,216,ENSG00000237435,ENST00000623085,95992090,96022781,750,6
216,217,ENSG00000237435,ENST00000623349,95992101,96022781,627,5
217,218,ENSG00000237435,ENST00000598129,95992441,96022779,718,5
218,219,ENSG00000237435,ENST00000598612,95995235,96022781,709,3
219,220,ENSG00000237435,ENST00000412513,95996121,96022866,637,3
220,221,ENSG00000237435,ENST00000631091,96010696,96022678,159,2
221,222,ENSG00000237567,ENST00000423489,105612667,105632196,589,6
222,223,ENSG00000237937,ENST00000444123,116639422,116658252,583,3
223,224,ENSG00000237937,ENST00000439483,116639480,116655189,369,3
224,225,ENSG00000237980,ENST00000446962,212653999,212665434,473,3
225,226,ENSG00000238107,ENST00000427169,148295180,148297556,1918,2
226,227,ENSG00000238131,ENST00000418679,53926676,53947744,625,3
227,228,ENSG00000238242,ENST00000456878,60114875,60149679,683,3
228,229,ENSG00000242147,ENST00000478294,5594991,5596118,697,2
229,230,ENSG00000245522,ENST00000500698,9754770,9759533,2311,3
230,231,ENSG00000245522,ENST00000525154,9755129,9758164,2168,2
231,232,ENSG00000248107,ENST00000507428,126179577,126193850,566,4
232,233,ENSG00000248132,ENST00000505861,58108082,58122341,725,5
233,234,ENSG00000248150,ENST00000513157,16373361,16440081,2120,8
234,235,ENSG00000248279,ENST00000505518,32947443,32962467,2008,6
235,236,ENSG00000248279,ENST00000507693,32948993,32961429,510,5
236,237,ENSG00000248371,ENST00000506293,72574120,72574828,525,2
237,238,ENSG00000248371,ENST00000512573,72574120,72660669,594,3
238,239,ENSG00000248371,ENST00000506250,72574186,72580977,591,3
239,240,ENSG00000248391,ENST00000506492,29380296,29395981,470,5
240,241,ENSG00000248391,ENST00000507876,29383104,29389940,403,3
241,242,ENSG00000248473,ENST00000513771,181191046,181191852,411,2
242,243,ENSG00000248474,ENST00000511395,74084068,74103216,577,2
243,244,ENSG00000248528,ENST00000507491,92907180,92939591,707,4
244,245,ENSG00000248677,ENST00000503989,6686325,6707711,3364,3
245,246,ENSG00000248677,ENST00000514788,6705150,6706272,381,2
246,247,ENSG00000248717,ENST00000513535,180684766,180686546,1039,2
247,248,ENSG00000248727,ENST00000506836,56457795,56481769,656,5
248,249,ENSG00000248727,ENST00000511661,56465010,56481946,578,3
249,250,ENSG00000248789,ENST00000505899,52008031,52043909,407,4
250,251,ENSG00000248789,ENST00000510583,52009815,52080987,419,4
251,252,ENSG00000248844,ENST00000528316,70056230,70063924,548,2
252,253,ENSG00000248844,ENST00000511013,70056230,70065371,1755,2
253,254,ENSG00000248846,ENST00000509924,66206212,66209447,562,2
254,255,ENSG00000248901,ENST00000505908,98086260,98161193,651,5
255,256,ENSG00000248990,ENST00000505409,28679183,28683469,520,3
256,257,ENSG00000249128,ENST00000503320,118596188,118628092,543,5
257,258,ENSG00000249203,ENST00000505706,44495618,44510240,584,3
258,259,ENSG00000249203,ENST00000510758,44500632,44510282,539,3
259,260,ENSG00000249551,ENST00000513366,118575575,118581324,581,5
260,261,ENSG00000249584,ENST00000510444,57890327,57899162,4069,3
261,262,ENSG00000249785,ENST00000650976,28285964,28287777,734,3
262,263,ENSG00000249785,ENST00000512849,28286389,28287665,523,2
263,264,ENSG00000249830,ENST00000512521,3452816,3461660,574,3
264,265,ENSG00000249867,ENST00000513853,28702615,29044871,806,4
265,266,ENSG00000249867,ENST00000511073,28902281,29063821,781,4
266,267,ENSG00000250127,ENST00000504333,58541567,58558243,1184,4
267,268,ENSG00000250198,ENST00000510229,8839732,8881240,496,3
268,269,ENSG00000250198,ENST00000506655,8839759,8842460,2702,1
269,270,ENSG00000250198,ENST00000651480,8839759,8898052,5612,4
270,271,ENSG00000250198,ENST00000510067,8839765,8881525,1008,4
271,272,ENSG00000250303,ENST00000504610,112270749,112362534,2749,4
272,273,ENSG00000250303,ENST00000532168,112280486,112291776,697,2
273,274,ENSG00000250303,ENST00000419895,112290201,112292721,1711,2
274,275,ENSG00000250303,ENST00000529938,112290268,112292170,1166,2
275,276,ENSG00000250303,ENST00000527511,112292573,112294116,597,2
276,277,ENSG00000250313,ENST00000508486,66507544,66511604,661,3
277,278,ENSG00000250358,ENST00000508879,112628436,112632100,615,4
278,279,ENSG00000250358,ENST00000507565,112628600,112630702,449,3
279,280,ENSG00000250358,ENST00000513687,112628857,112630565,541,2
280,281,ENSG00000250417,ENST00000509455,1855970,1856568,493,2
281,282,ENSG00000250427,ENST00000503877,118282575,118284782,1223,2
282,283,ENSG00000250447,ENST00000504552,53776644,53819686,1003,4
283,284,ENSG00000250447,ENST00000511953,53777014,53819676,870,6
284,285,ENSG00000250490,ENST00000507444,6310441,6337292,2419,2
285,286,ENSG00000250490,ENST00000502644,6337239,6339884,558,2
286,287,ENSG00000250508,ENST00000512200,68870664,68874542,3252,2
287,288,ENSG00000250529,ENST00000507950,5069192,5078311,432,2
288,289,ENSG00000250668,ENST00000514869,7346986,7347977,885,2
289,290,ENSG00000250822,ENST00000505158,17378906,17387310,2312,3
290,291,ENSG00000251026,ENST00000514769,104079911,104105403,574,5
291,292,ENSG00000251027,ENST00000513273,106815197,107011014,572,4
292,293,ENSG00000251027,ENST00000505997,106815205,106980869,602,3
293,294,ENSG00000251169,ENST00000515627,134506552,134509229,1107,2
294,295,ENSG00000251183,ENST00000509568,153887428,153898987,537,4
295,296,ENSG00000251226,ENST00000513405,134735596,134763810,3684,2
296,297,ENSG00000251273,ENST00000641970,25087450,25190690,1355,6
297,298,ENSG00000251273,ENST00000641261,25101018,25190956,2788,5
298,299,ENSG00000251273,ENST00000507600,25126305,25190656,534,5
299,300,ENSG00000251311,ENST00000504419,116742991,116762209,707,4
300,301,ENSG00000251323,ENST00000513207,78423982,78429836,1642,4
301,302,ENSG00000251443,ENST00000503577,33229735,33255553,517,4
302,303,ENSG00000251538,ENST00000511194,122628952,122730559,1651,12
303,304,ENSG00000251538,ENST00000649085,122629184,122719515,1506,9
304,305,ENSG00000251538,ENST00000514657,122699390,122705069,674,3
305,306,ENSG00000251538,ENST00000508992,122729409,122730685,468,2
306,307,ENSG00000251542,ENST00000506392,114576041,114579970,751,2
307,308,ENSG00000251543,ENST00000511174,73337906,73338533,301,2
308,309,ENSG00000251573,ENST00000513880,50969217,50969967,225,3
309,310,ENSG00000251573,ENST00000506534,50969217,50970167,606,2
310,311,ENSG00000251637,ENST00000529069,67886477,67894093,600,3
311,312,ENSG00000251637,ENST00000511677,67886496,67891345,3387,2
312,313,ENSG00000251637,ENST00000533670,67886590,67906350,613,3
313,314,ENSG00000253236,ENST00000519929,164448422,164467402,520,4
314,315,ENSG00000253298,ENST00000518418,159448556,159466276,2012,7
315,316,ENSG00000253417,ENST00000518580,160931778,160938626,2323,3
316,317,ENSG00000253417,ENST00000518301,160931781,160938626,2146,3
317,318,ENSG00000253428,ENST00000521373,173689459,173705849,513,3
318,319,ENSG00000253644,ENST00000518612,101387299,101393186,408,3
319,320,ENSG00000253679,ENST00000523121,101261541,101262903,979,2
320,321,ENSG00000253702,ENST00000523038,48597458,48621018,559,4
321,322,ENSG00000253787,ENST00000520762,68189876,68198407,454,3
322,323,ENSG00000253959,ENST00000523242,173642519,173658194,494,2
323,324,ENSG00000254106,ENST00000523446,109883182,109884751,518,3
324,325,ENSG00000254119,ENST00000520862,61785047,61852765,536,4
325,326,ENSG00000254119,ENST00000523042,61825328,61852705,535,4
326,327,ENSG00000254119,ENST00000518593,61825348,61944180,469,4
327,328,ENSG00000254119,ENST00000519452,61825437,61922823,472,4
328,329,ENSG00000254119,ENST00000519967,61825469,61874179,430,4
329,330,ENSG00000254119,ENST00000517953,61834917,61855852,439,4
330,331,ENSG00000254119,ENST00000520097,61834948,61894735,506,4
331,332,ENSG00000254119,ENST00000519766,61834956,61939534,357,3
332,333,ENSG00000254119,ENST00000523728,61852653,61885559,398,2
333,334,ENSG00000254119,ENST00000521501,61852654,61862040,394,2
334,335,ENSG00000254119,ENST00000519990,61878882,61885562,1173,2
335,336,ENSG00000254123,ENST00000520155,82098451,82160577,823,3
336,337,ENSG00000254123,ENST00000520988,82108565,82160542,459,3
337,338,ENSG00000254130,ENST00000523742,166905222,166926370,566,3
338,339,ENSG00000254209,ENST00000518922,121671773,121684562,414,3
339,340,ENSG00000254226,ENST00000524295,151949571,152270448,3591,7
340,341,ENSG00000254226,ENST00000524034,151958898,152270445,399,3
341,342,ENSG00000254226,ENST00000518431,152195448,152270445,425,3
342,343,ENSG00000254226,ENST00000523605,152217074,152270432,463,4
343,344,ENSG00000254299,ENST00000652199,172543403,172559142,1393,3
344,345,ENSG00000254299,ENST00000517916,172557392,172559014,416,3
345,346,ENSG00000254401,ENST00000647635,11020883,11183609,1352,7
346,347,ENSG00000254401,ENST00000525758,11117854,11183611,1833,7
347,348,ENSG00000254416,ENST00000526605,110355130,110406400,720,3
348,349,ENSG00000254416,ENST00000526703,110355199,110381986,555,3
349,350,ENSG00000254427,ENST00000524410,45355371,45366121,605,2
350,351,ENSG00000254427,ENST00000524488,45355500,45356653,361,2
351,352,ENSG00000254427,ENST00000524565,45355501,45356648,872,2
352,353,ENSG00000254438,ENST00000532065,13921450,13924863,684,2
353,354,ENSG00000254456,ENST00000526327,25734770,25781666,463,5
354,355,ENSG00000254456,ENST00000533049,25734770,25781758,568,5
355,356,ENSG00000254456,ENST00000533942,25734809,25774423,575,5
356,357,ENSG00000254480,ENST00000525365,4187140,4202655,462,2
357,358,ENSG00000254516,ENST00000532562,37938601,37954663,376,3
358,359,ENSG00000254518,ENST00000525654,50298579,50302128,524,2
359,360,ENSG00000254518,ENST00000529219,50298618,50304656,500,3
360,361,ENSG00000254530,ENST00000525097,29335878,29594295,448,4
361,362,ENSG00000254530,ENST00000528553,29335898,29350349,305,2
362,363,ENSG00000254580,ENST00000524966,106112459,106132116,409,3
363,364,ENSG00000254594,ENST00000527283,24235477,24262205,554,6
364,365,ENSG00000254594,ENST00000534492,24259399,24262218,398,3
365,366,ENSG00000254654,ENST00000525114,44973902,44978028,1239,4
366,367,ENSG00000254659,ENST00000534252,109751442,109823847,620,5
367,368,ENSG00000254661,ENST00000530418,15910957,15927443,528,4
368,369,ENSG00000254699,ENST00000530126,86192787,86193482,178,2
369,370,ENSG00000254823,ENST00000527533,123313674,123314770,388,2
370,371,ENSG00000254823,ENST00000527774,123313703,123314767,445,3
371,372,ENSG00000254863,ENST00000534055,119987954,119988834,518,2
372,373,ENSG00000254863,ENST00000526934,119988665,119994709,479,3
373,374,ENSG00000254863,ENST00000524708,119988764,119995037,464,3
374,375,ENSG00000254946,ENST00000527770,15552855,15591098,571,5
375,376,ENSG00000254952,ENST00000533106,60159687,60160822,385,3
376,377,ENSG00000254968,ENST00000528496,112393118,112541916,855,3
377,378,ENSG00000254968,ENST00000529238,112482232,112621729,520,4
378,379,ENSG00000254968,ENST00000529827,112484345,112487836,461,3
379,380,ENSG00000255008,ENST00000533552,59561146,59566074,769,6
380,381,ENSG00000255079,ENST00000532748,44694863,44696301,789,2
381,382,ENSG00000255109,ENST00000525641,42183292,42239819,447,4
382,383,ENSG00000255109,ENST00000530387,42183297,42239735,462,5
383,384,ENSG00000255109,ENST00000527757,42214795,42253712,546,5
384,385,ENSG00000255133,ENST00000525320,33814877,33822095,308,3
385,386,ENSG00000255169,ENST00000534666,33804768,33805641,547,3
386,387,ENSG00000255175,ENST00000529017,38618264,38646348,429,5
387,388,ENSG00000255175,ENST00000531882,38618329,38646356,477,5
388,389,ENSG00000255178,ENST00000526840,80751200,80762826,1571,3
389,390,ENSG00000255187,ENST00000526509,91158083,91167294,504,3
390,391,ENSG00000255193,ENST00000534068,23730588,23796970,683,4
391,392,ENSG00000255226,ENST00000531982,45750823,45751871,534,2
392,393,ENSG00000255226,ENST00000526225,45751106,45751573,166,2
393,394,ENSG00000255258,ENST00000526254,133783671,133810376,975,3
394,395,ENSG00000255267,ENST00000528390,45371397,45388508,2597,5
395,396,ENSG00000255269,ENST00000530941,46213824,46219655,641,3
396,397,ENSG00000255269,ENST00000634553,46213824,46219854,649,3
397,398,ENSG00000255269,ENST00000634971,46213824,46220229,854,3
398,399,ENSG00000255269,ENST00000635389,46213828,46220438,638,3
399,400,ENSG00000255269,ENST00000634991,46214100,46219655,481,4
400,401,ENSG00000255300,ENST00000527828,41993385,42085458,584,4
401,402,ENSG00000255300,ENST00000534059,42068575,42163851,625,5
402,403,ENSG00000255327,ENST00000528497,134950708,134951568,762,2
403,404,ENSG00000255332,ENST00000577699,91794362,91800931,1033,4
404,405,ENSG00000255332,ENST00000581290,91795307,91803492,415,3
405,406,ENSG00000255332,ENST00000525832,91803355,91812294,444,2
406,407,ENSG00000255344,ENST00000529922,134714542,134715922,455,2
407,408,ENSG00000255363,ENST00000637683,76607853,76630427,1413,5
408,409,ENSG00000255363,ENST00000532413,76628096,76630363,559,2
409,410,ENSG00000255382,ENST00000526305,82791662,82817146,446,2
410,411,ENSG00000255388,ENST00000526978,41518895,41714448,859,7
411,412,ENSG00000255388,ENST00000531210,41586735,41712408,454,3
412,413,ENSG00000255406,ENST00000647888,134026900,134030167,916,3
413,414,ENSG00000255406,ENST00000532272,134026987,134028118,516,2
414,415,ENSG00000255418,ENST00000530576,23164900,23166786,510,4
415,416,ENSG00000255418,ENST00000533591,23165187,23203161,685,7
416,417,ENSG00000255427,ENST00000527135,34570876,34573982,564,2
417,418,ENSG00000255433,ENST00000532274,56848478,56877211,2034,4
