,SNO,Index,RefSeq Gene ID,Dbxref,Name,gbkey,Biotype,Type,Seq_id,Strand,Start,End,No. of Transcripts
19,20,451,gene-FAM41C,"GeneID:284593,HGNC:HGNC:27635",FAM41C,Gene,lncRNA,gene,NC_000001.11,-1,868071,876802,1
20,21,458,gene-LOC284600,GeneID:284600,LOC284600,Gene,lncRNA,gene,NC_000001.11,1,905115,914782,1
21,22,463,gene-LOC100130417,GeneID:100130417,LOC100130417,Gene,lncRNA,gene,NC_000001.11,-1,916818,919692,2
22,23,1366,gene-LOC100288175,GeneID:100288175,LOC100288175,Gene,lncRNA,gene,NC_000001.11,1,1059734,1066453,1
23,24,1381,gene-LOC105378948,GeneID:105378948,LOC105378948,Gene,lncRNA,gene,NC_000001.11,-1,1065635,1068554,2
24,25,2059,gene-LINC01342,"GeneID:254099,HGNC:HGNC:50551",LINC01342,Gene,lncRNA,gene,NC_000001.11,1,1137017,1144056,1
25,26,2064,gene-MIR200B,"GeneID:406984,HGNC:HGNC:31579,MIM:612091,miRBase:MI0000342",MIR200B,Gene,miRNA,gene,NC_000001.11,1,1167104,1167198,3
26,27,2071,gene-MIR200A,"GeneID:406983,HGNC:HGNC:31578,MIM:612090,miRBase:MI0000737",MIR200A,Gene,miRNA,gene,NC_000001.11,1,1167863,1167952,3
27,28,2078,gene-MIR429,"GeneID:554210,HGNC:HGNC:13784,MIM:612094,miRBase:MI0001641",MIR429,Gene,miRNA,gene,NC_000001.11,1,1169005,1169087,2
28,29,2846,gene-LINC01786,"GeneID:101928895,HGNC:HGNC:52575",LINC01786,Gene,lncRNA,gene,NC_000001.11,1,1274002,1279447,2
29,30,3324,gene-MIR6726,"GeneID:102465434,HGNC:HGNC:50009,miRBase:MI0022571",MIR6726,Gene,miRNA,gene,NC_000001.11,-1,1296110,1296170,3
30,31,3331,gene-SNORD167,"GeneID:109623456,HGNC:HGNC:51881",SNORD167,Gene,snoRNA,gene,NC_000001.11,-1,1304729,1304812,1
31,32,3773,gene-MIR6727,"GeneID:102465435,HGNC:HGNC:50171,miRBase:MI0022572",MIR6727,Gene,miRNA,gene,NC_000001.11,-1,1312502,1312566,3
32,33,3966,gene-MIR6808,"GeneID:102466740,HGNC:HGNC:50046,miRBase:MI0022653",MIR6808,Gene,miRNA,gene,NC_000001.11,-1,1339650,1339708,3
33,34,4570,gene-LOC148413,GeneID:148413,LOC148413,Gene,lncRNA,gene,NC_000001.11,1,1399530,1402046,1
34,35,4595,gene-LOC107984868,GeneID:107984868,LOC107984868,Gene,lncRNA,gene,NC_000001.11,-1,1412295,1416247,1
35,36,4661,gene-LOC105378585,GeneID:105378585,LOC105378585,Gene,lncRNA,gene,NC_000001.11,1,1420245,1423287,1
36,37,4671,gene-LINC01770,"GeneID:102724312,HGNC:HGNC:52560",LINC01770,Gene,lncRNA,gene,NC_000001.11,-1,1430157,1434573,3
37,38,5186,gene-LOC105378586,GeneID:105378586,LOC105378586,Gene,lncRNA,gene,NC_000001.11,1,1599433,1607210,1
38,39,7718,gene-LOC112268218,GeneID:112268218,LOC112268218,Gene,lncRNA,gene,NC_000001.11,1,1745725,1751773,1
39,40,8871,gene-LOC107984872,GeneID:107984872,LOC107984872,Gene,lncRNA,gene,NC_000001.11,1,1955857,1958986,2
40,41,8880,gene-LOC105378589,GeneID:105378589,LOC105378589,Gene,lncRNA,gene,NC_000001.11,-1,2013211,2018138,2
41,42,8943,gene-LOC105378590,GeneID:105378590,LOC105378590,Gene,lncRNA,gene,NC_000001.11,-1,2034986,2047447,2
42,43,8955,gene-LOC105378591,GeneID:105378591,LOC105378591,Gene,lncRNA,gene,NC_000001.11,-1,2049201,2050070,1
43,44,9728,gene-PRKCZ-AS1,"GeneID:100506504,HGNC:HGNC:40477",PRKCZ-AS1,Gene,lncRNA,gene,NC_000001.11,-1,2181794,2183875,1
44,45,9939,gene-LOC105378593,GeneID:105378593,LOC105378593,Gene,lncRNA,gene,NC_000001.11,1,2207013,2208854,1
45,46,11278,gene-TNFRSF14-AS1,"GeneID:115110,HGNC:HGNC:26966",TNFRSF14-AS1,Gene,lncRNA,gene,NC_000001.11,-1,2549920,2557011,1
46,47,11403,gene-LOC100996583,GeneID:100996583,LOC100996583,Gene,lncRNA,gene,NC_000001.11,1,2566535,2584534,1
47,48,11926,gene-LOC105378597,GeneID:105378597,LOC105378597,Gene,lncRNA,gene,NC_000001.11,1,2633111,2636620,5
48,49,11980,gene-LOC105378603,GeneID:105378603,LOC105378603,Gene,lncRNA,gene,NC_000001.11,-1,2700540,2702756,1
49,50,11985,gene-LOC105378602,GeneID:105378602,LOC105378602,Gene,lncRNA,gene,NC_000001.11,1,2701377,2702276,2
50,51,11994,gene-LOC105378601,GeneID:105378601,LOC105378601,Gene,lncRNA,gene,NC_000001.11,1,2762488,2763387,2
51,52,12003,gene-LOC112268220,GeneID:112268220,LOC112268220,Gene,lncRNA,gene,NC_000001.11,1,2763419,2767518,1
52,53,12009,gene-LOC107985732,GeneID:107985732,LOC107985732,Gene,lncRNA,gene,NC_000001.11,1,2764564,2765629,1
53,54,12014,gene-LOC105378600,GeneID:105378600,LOC105378600,Gene,lncRNA,gene,NC_000001.11,1,2766073,2766972,2
54,55,12023,gene-LOC105378598,GeneID:105378598,LOC105378598,Gene,lncRNA,gene,NC_000001.11,1,2767822,2784745,21
55,56,12174,gene-LOC107984904,GeneID:107984904,LOC107984904,Gene,lncRNA,gene,NC_000001.11,1,2771826,2772891,1
56,57,12179,gene-LOC105378599,GeneID:105378599,LOC105378599,Gene,lncRNA,gene,NC_000001.11,1,2773495,2774394,2
57,58,12192,gene-LINC00982,"GeneID:440556,HGNC:HGNC:48664",LINC00982,Gene,lncRNA,gene,NC_000001.11,-1,3059617,3067725,2
58,59,12479,gene-MIR4251,"GeneID:100422968,HGNC:HGNC:38370,miRBase:MI0015861",MIR4251,Gene,miRNA,gene,NC_000001.11,1,3127975,3128035,2
59,60,12484,gene-LOC105378606,GeneID:105378606,LOC105378606,Gene,lncRNA,gene,NC_000001.11,-1,3159009,3167597,1
60,61,12489,gene-LOC107984909,GeneID:107984909,LOC107984909,Gene,lncRNA,gene,NC_000001.11,1,3191945,3195519,1
61,62,12493,gene-LOC105378605,GeneID:105378605,LOC105378605,Gene,lncRNA,gene,NC_000001.11,-1,3210740,3214473,1
62,63,12499,gene-LOC105378604,GeneID:105378604,LOC105378604,Gene,lncRNA,gene,NC_000001.11,-1,3306636,3327974,4
63,64,13210,gene-LOC105378608,GeneID:105378608,LOC105378608,Gene,lncRNA,gene,NC_000001.11,1,3546965,3550776,1
64,65,13215,gene-MIR551A,"GeneID:693135,HGNC:HGNC:32806,MIM:615148,miRBase:MI0003556",MIR551A,Gene,miRNA,gene,NC_000001.11,-1,3560695,3560790,2
65,66,13220,gene-LOC105378607,GeneID:105378607,LOC105378607,Gene,lncRNA,gene,NC_000001.11,1,3602895,3607681,3
66,67,13634,gene-LOC105378610,GeneID:105378610,LOC105378610,Gene,lncRNA,gene,NC_000001.11,-1,3658430,3665413,2
67,68,13643,gene-LOC105378609,GeneID:105378609,LOC105378609,Gene,lncRNA,gene,NC_000001.11,-1,3674874,3677639,1
68,69,13648,gene-TP73-AS1,"GeneID:57212,HGNC:HGNC:29052",TP73-AS1,Gene,lncRNA,gene,NC_000001.11,-1,3735984,3747373,5
69,70,14555,gene-LOC107984910,GeneID:107984910,LOC107984910,Gene,lncRNA,gene,NC_000001.11,-1,3885495,3888787,1
70,71,14589,gene-LINC01134,"GeneID:100133612,HGNC:HGNC:49449",LINC01134,Gene,lncRNA,gene,NC_000001.11,1,3900404,3915447,1
71,72,14595,gene-LINC01346,"GeneID:728716,HGNC:HGNC:50563",LINC01346,Gene,lncRNA,gene,NC_000001.11,1,3940612,3952583,1
72,73,14600,gene-LINC01345,"GeneID:105376672,HGNC:HGNC:50564",LINC01345,Gene,lncRNA,gene,NC_000001.11,-1,3947149,3948980,1
73,74,14605,gene-LOC105376673,GeneID:105376673,LOC105376673,Gene,lncRNA,gene,NC_000001.11,1,3972916,4011584,8
74,75,14652,gene-LINC01777,"GeneID:284661,HGNC:HGNC:52567",LINC01777,Gene,lncRNA,gene,NC_000001.11,1,4412051,4424684,1
75,76,14660,gene-LOC105376674,GeneID:105376674,LOC105376674,Gene,lncRNA,gene,NC_000001.11,1,4432146,4443634,2
76,77,14669,gene-LINC01646,"GeneID:105376679,HGNC:HGNC:52433",LINC01646,Gene,lncRNA,gene,NC_000001.11,1,4571487,4583706,1
77,78,14676,gene-LOC107985376,GeneID:107985376,LOC107985376,Gene,lncRNA,gene,NC_000001.11,1,4603688,4617555,1
78,79,14730,gene-LOC105376680,GeneID:105376680,LOC105376680,Gene,lncRNA,gene,NC_000001.11,1,4973391,4983958,2
79,80,14743,gene-LOC102724429,GeneID:102724429,LOC102724429,Gene,lncRNA,gene,NC_000001.11,1,4997369,5004349,3
80,81,14762,gene-LOC105376681,GeneID:105376681,LOC105376681,Gene,lncRNA,gene,NC_000001.11,-1,5090580,5098548,2
81,82,14772,gene-LOC105376682,GeneID:105376682,LOC105376682,Gene,lncRNA,gene,NC_000001.11,1,5131856,5135311,1
82,83,14777,gene-LOC107984911,GeneID:107984911,LOC107984911,Gene,lncRNA,gene,NC_000001.11,-1,5470329,5481317,1
83,84,14784,gene-LOC105376686,GeneID:105376686,LOC105376686,Gene,lncRNA,gene,NC_000001.11,-1,5490842,5494668,4
84,85,14800,gene-MIR4417,"GeneID:100616489,HGNC:HGNC:41535,miRBase:MI0016753",MIR4417,Gene,miRNA,gene,NC_000001.11,1,5564071,5564143,2
85,86,14808,gene-MIR4689,"GeneID:100616421,HGNC:HGNC:41895,miRBase:MI0017322",MIR4689,Gene,miRNA,gene,NC_000001.11,-1,5862672,5862741,2
86,87,16404,gene-LOC105376687,GeneID:105376687,LOC105376687,Gene,lncRNA,gene,NC_000001.11,1,6131763,6132692,1
87,88,16418,gene-LOC107985733,GeneID:107985733,LOC107985733,Gene,lncRNA,gene,NC_000001.11,-1,6200492,6209339,1
88,89,16423,gene-LOC102724450,GeneID:102724450,LOC102724450,Gene,lncRNA,gene,NC_000001.11,-1,6204840,6205780,1
89,90,16712,gene-LINC00337,"GeneID:148645,HGNC:HGNC:28620",LINC00337,Gene,lncRNA,gene,NC_000001.11,1,6236240,6239444,1
90,91,17144,gene-MIR4252,"GeneID:100422975,HGNC:HGNC:38384,miRBase:MI0015864",MIR4252,Gene,miRNA,gene,NC_000001.11,-1,6429834,6429896,2
91,92,17770,gene-LOC107984912,GeneID:107984912,LOC107984912,Gene,lncRNA,gene,NC_000001.11,-1,6567548,6579433,2
92,93,17982,gene-LOC107984913,GeneID:107984913,LOC107984913,Gene,lncRNA,gene,NC_000001.11,-1,6603447,6613461,1
93,94,18158,gene-LINC01672,"GeneID:100505887,HGNC:HGNC:52460",LINC01672,Gene,lncRNA,gene,NC_000001.11,1,6724745,6730012,2
94,95,18165,gene-CAMTA1-DT,"GeneID:110841581,HGNC:HGNC:53020",CAMTA1-DT,Gene,lncRNA,gene,NC_000001.11,-1,6783892,6784980,1
95,96,19590,gene-LOC105376692,GeneID:105376692,LOC105376692,Gene,lncRNA,gene,NC_000001.11,-1,7235640,7240139,1
96,97,19595,gene-LOC102725193,GeneID:102725193,LOC102725193,Gene,lncRNA,gene,NC_000001.11,-1,7382487,7389754,3
97,98,19608,gene-LOC101928836,GeneID:101928836,LOC101928836,Gene,lncRNA,gene,NC_000001.11,-1,7440567,7442144,6
98,99,19630,gene-LOC105376691,GeneID:105376691,LOC105376691,Gene,lncRNA,gene,NC_000001.11,1,7503370,7508625,1
99,100,19635,gene-LOC105376689,GeneID:105376689,LOC105376689,Gene,lncRNA,gene,NC_000001.11,-1,7693159,7704032,8
100,101,21038,gene-LOC107984915,GeneID:107984915,LOC107984915,Gene,lncRNA,gene,NC_000001.11,-1,8129155,8147644,2
101,102,21052,gene-LINC01714,"GeneID:102724539,HGNC:HGNC:52501",LINC01714,Gene,lncRNA,gene,NC_000001.11,1,8208672,8215210,1
102,103,21058,gene-LOC105376695,GeneID:105376695,LOC105376695,Gene,lncRNA,gene,NC_000001.11,1,8240090,8248644,1
103,104,21525,gene-LOC102724552,GeneID:102724552,LOC102724552,Gene,lncRNA,gene,NC_000001.11,1,8424645,8435016,1
104,105,21531,gene-SNORD128,"GeneID:106632271,HGNC:HGNC:50409",SNORD128,Gene,snoRNA,gene,NC_000001.11,-1,8494800,8494913,1
105,106,21609,gene-MIR6728,"GeneID:102465436,HGNC:HGNC:49961,miRBase:MI0022573",MIR6728,Gene,miRNA,gene,NC_000001.11,-1,8866502,8866590,3
106,107,21616,gene-ENO1-AS1,"GeneID:100505975,HGNC:HGNC:40214",ENO1-AS1,Gene,lncRNA,gene,NC_000001.11,1,8878835,8879885,1
107,108,21623,gene-LOC112268261,GeneID:112268261,LOC112268261,Gene,lncRNA,gene,NC_000001.11,-1,8905607,8927330,6
108,109,21925,gene-LOC107984916,GeneID:107984916,LOC107984916,Gene,lncRNA,gene,NC_000001.11,-1,9100305,9102986,1
109,110,21955,gene-MIR34AHG,"GeneID:106614088,HGNC:HGNC:51913",MIR34AHG,Gene,lncRNA,gene,NC_000001.11,-1,9148011,9182338,1
110,111,21959,gene-MIR34A,"GeneID:407040,HGNC:HGNC:31635,MIM:611172,miRBase:MI0000268",MIR34A,Gene,miRNA,gene,NC_000001.11,-1,9151668,9151777,3
111,112,21966,gene-LINC01759,"GeneID:102724571,HGNC:HGNC:52548",LINC01759,Gene,lncRNA,gene,NC_000001.11,1,9182204,9192086,1
112,113,22039,gene-LOC100506022,GeneID:100506022,LOC100506022,Gene,lncRNA,gene,NC_000001.11,-1,9425094,9428996,2
113,114,22290,gene-LOC105376712,GeneID:105376712,LOC105376712,Gene,lncRNA,gene,NC_000001.11,-1,9628447,9629428,1
114,115,23068,gene-PIK3CD-AS1,"GeneID:644997,HGNC:HGNC:32346",PIK3CD-AS1,Gene,lncRNA,gene,NC_000001.11,-1,9652610,9654586,1
115,116,23073,gene-PIK3CD-AS2,"GeneID:101929074,HGNC:HGNC:51334",PIK3CD-AS2,Gene,lncRNA,gene,NC_000001.11,-1,9672426,9687574,3
116,117,23248,gene-LOC105376717,GeneID:105376717,LOC105376717,Gene,lncRNA,gene,NC_000001.11,1,9850773,9855490,1
117,118,23444,gene-MIR5697,"GeneID:100847055,HGNC:HGNC:43509,miRBase:MI0019304",MIR5697,Gene,miRNA,gene,NC_000001.11,1,9967381,9967458,2
118,119,24101,gene-MIR1273D,"GeneID:100422970,HGNC:HGNC:38375,miRBase:MI0014254",MIR1273D,Gene,miRNA,gene,NC_000001.11,1,10227718,10227803,2
119,120,24109,gene-LOC105376725,GeneID:105376725,LOC105376725,Gene,lncRNA,gene,NC_000001.11,-1,10357983,10366610,1
120,121,24686,gene-LOC105376733,GeneID:105376733,LOC105376733,Gene,lncRNA,gene,NC_000001.11,-1,10809018,10815658,1
121,122,24695,gene-LOC105376735,GeneID:105376735,LOC105376735,Gene,lncRNA,gene,NC_000001.11,-1,10913618,10918697,1
122,123,25334,gene-LOC105376736,GeneID:105376736,LOC105376736,Gene,lncRNA,gene,NC_000001.11,1,11099675,11102105,3
123,124,26095,gene-MTOR-AS1,"GeneID:100873935,HGNC:HGNC:40242",MTOR-AS1,Gene,lncRNA,gene,NC_000001.11,1,11143898,11149538,1
124,125,26159,gene-LOC105376737,GeneID:105376737,LOC105376737,Gene,lncRNA,gene,NC_000001.11,-1,11311439,11316855,1
125,126,26164,gene-LOC105376739,GeneID:105376739,LOC105376739,Gene,lncRNA,gene,NC_000001.11,1,11357945,11364461,1
126,127,26170,gene-LOC105376740,GeneID:105376740,LOC105376740,Gene,lncRNA,gene,NC_000001.11,1,11371689,11377536,2
127,128,26475,gene-LOC112268221,GeneID:112268221,LOC112268221,Gene,lncRNA,gene,NC_000001.11,-1,11495407,11501633,1
128,129,26480,gene-LINC01647,"GeneID:101929181,HGNC:HGNC:52434",LINC01647,Gene,lncRNA,gene,NC_000001.11,1,11609531,11613355,1
129,130,27583,gene-LOC102724659,GeneID:102724659,LOC102724659,Gene,lncRNA,gene,NC_000001.11,-1,11777077,11779619,1
130,131,27936,gene-NPPA-AS1,"GeneID:100379251,HGNC:HGNC:37635",NPPA-AS1,Gene,antisense_RNA,gene,NC_000001.11,1,11840319,11847616,1
131,132,27962,gene-RNU5E-1,"GeneID:26829,HGNC:HGNC:10215",RNU5E-1,Gene,snRNA,gene,NC_000001.11,1,11908154,11908272,1
132,133,28436,gene-MIR6729,"GeneID:102466982,HGNC:HGNC:50103,miRBase:MI0022574",MIR6729,Gene,miRNA,gene,NC_000001.11,1,12029158,12029222,3
133,134,28563,gene-MIR7846,"GeneID:102465836,HGNC:HGNC:50029,miRBase:MI0025516",MIR7846,Gene,miRNA,gene,NC_000001.11,1,12166943,12167038,2
134,135,28683,gene-MIR4632,"GeneID:100616438,HGNC:HGNC:41593,miRBase:MI0017259",MIR4632,Gene,miRNA,gene,NC_000001.11,1,12191713,12191773,3
135,136,28690,gene-LOC107984917,GeneID:107984917,LOC107984917,Gene,lncRNA,gene,NC_000001.11,1,12214240,12227610,1
136,137,28979,gene-SNORA59A,"GeneID:677885,HGNC:HGNC:32653",SNORA59A,Gene,snoRNA,gene,NC_000001.11,1,12507246,12507397,1
137,138,28982,gene-LOC105376744,GeneID:105376744,LOC105376744,Gene,lncRNA,gene,NC_000001.11,1,12525256,12531132,3
138,139,29055,gene-MIR6730,"GeneID:102466722,HGNC:HGNC:50222,miRBase:MI0022575",MIR6730,Gene,miRNA,gene,NC_000001.11,-1,12578957,12579023,3
139,140,29137,gene-LINC01784,"GeneID:105376745,HGNC:HGNC:52574",LINC01784,Gene,lncRNA,gene,NC_000001.11,-1,12822686,12823223,1
140,141,29397,gene-LOC102724856,GeneID:102724856,LOC102724856,Gene,lncRNA,gene,NC_000001.11,1,13486844,13493726,2
141,142,29406,gene-LOC107984918,GeneID:107984918,LOC107984918,Gene,lncRNA,gene,NC_000001.11,1,13513220,13517054,1
142,143,29499,gene-LOC107984919,GeneID:107984919,LOC107984919,Gene,lncRNA,gene,NC_000001.11,1,13623126,13642847,1
143,144,29505,gene-LOC105378612,GeneID:105378612,LOC105378612,Gene,lncRNA,gene,NC_000001.11,1,13670194,13674718,1
144,145,29510,gene-LOC105376756,GeneID:105376756,LOC105376756,Gene,lncRNA,gene,NC_000001.11,-1,13687103,13691892,1
145,146,30076,gene-LOC107985467,GeneID:107985467,LOC107985467,Gene,lncRNA,gene,NC_000001.11,1,14214243,14221488,2
146,147,30084,gene-LOC107985468,GeneID:107985468,LOC107985468,Gene,lncRNA,gene,NC_000001.11,-1,14222028,14254889,1
147,148,30089,gene-KAZN-AS1,"GeneID:105376762,HGNC:HGNC:53610",KAZN-AS1,Gene,lncRNA,gene,NC_000001.11,-1,14348955,14419973,1
148,149,30098,gene-LOC105376759,GeneID:105376759,LOC105376759,Gene,lncRNA,gene,NC_000001.11,-1,14801092,14818118,2
149,150,30107,gene-LOC107985469,GeneID:107985469,LOC107985469,Gene,lncRNA,gene,NC_000001.11,-1,14886750,14911575,1
150,151,30112,gene-TMEM51-AS1,"GeneID:200197,HGNC:HGNC:26301",TMEM51-AS1,Gene,lncRNA,gene,NC_000001.11,-1,15111815,15152464,1
151,152,32854,gene-LOC101927417,GeneID:101927417,LOC101927417,Gene,lncRNA,gene,NC_000001.11,-1,15326680,15343883,2
152,153,32861,gene-LOC101927441,GeneID:101927441,LOC101927441,Gene,lncRNA,gene,NC_000001.11,-1,15388358,15413823,6
153,154,32962,gene-LOC105376767,GeneID:105376767,LOC105376767,Gene,lncRNA,gene,NC_000001.11,-1,15463533,15467379,1
154,155,33192,gene-SCARNA21B,"GeneID:107397391,HGNC:HGNC:52237",SCARNA21B,Gene,guide_RNA,gene,NC_000001.11,1,15542166,15542304,1
155,156,33488,gene-SLC25A34-AS1,"GeneID:110806303,HGNC:HGNC:53623",SLC25A34-AS1,Gene,lncRNA,gene,NC_000001.11,-1,15740051,15749890,1
156,157,33823,gene-FLJ37453,GeneID:729614,FLJ37453,Gene,lncRNA,gene,NC_000001.11,-1,15834215,15848147,1
157,158,34636,gene-LOC101927479,GeneID:101927479,LOC101927479,Gene,lncRNA,gene,NC_000001.11,1,16154996,16168216,7
158,159,35458,gene-LINC01772,"GeneID:107984921,HGNC:HGNC:52562",LINC01772,Gene,lncRNA,gene,NC_000001.11,1,16460948,16468481,2
159,160,35482,gene-RNU1-1,"GeneID:26871,HGNC:HGNC:10120",RNU1-1,Gene,snRNA,gene,NC_000001.11,-1,16514122,16514285,1
160,161,35488,gene-LINC01783,"GeneID:100132147,HGNC:HGNC:52573",LINC01783,Gene,lncRNA,gene,NC_000001.11,-1,16533891,16535652,1
161,162,35561,gene-LOC105376794,GeneID:105376794,LOC105376794,Gene,lncRNA,gene,NC_000001.11,1,16613598,16624540,1
162,163,35590,gene-LOC107985736,GeneID:107985736,LOC107985736,Gene,lncRNA,gene,NC_000001.11,-1,16654157,16667145,1
163,164,35595,gene-RNU1-3,"GeneID:26869,HGNC:HGNC:10130",RNU1-3,Gene,snRNA,gene,NC_000001.11,-1,16666785,16666948,1
164,165,35628,gene-RNU1-4,"GeneID:6060,HGNC:HGNC:10128,MIM:180680",RNU1-4,Gene,snRNA,gene,NC_000001.11,1,16740516,16740679,1
165,166,35671,gene-MIR3675,"GeneID:100500876,HGNC:HGNC:38973,miRBase:MI0016076",MIR3675,Gene,miRNA,gene,NC_000001.11,-1,16858949,16859021,3
166,167,35698,gene-LOC105376805,GeneID:105376805,LOC105376805,Gene,lncRNA,gene,NC_000001.11,-1,16888538,16889666,4
167,168,35714,gene-RNU1-2,"GeneID:26870,HGNC:HGNC:10123",RNU1-2,Gene,snRNA,gene,NC_000001.11,1,16895980,16896143,1
168,169,36506,gene-LOC105376806,GeneID:105376806,LOC105376806,Gene,lncRNA,gene,NC_000001.11,1,16976293,16977795,1
169,170,37628,gene-LOC105376808,GeneID:105376808,LOC105376808,Gene,lncRNA,gene,NC_000001.11,1,17135665,17138955,1
170,171,37633,gene-LOC400743,GeneID:400743,LOC400743,Gene,lncRNA,gene,NC_000001.11,1,17189789,17196387,1
171,172,37988,gene-MIR3972,"GeneID:100616188,HGNC:HGNC:41876,miRBase:MI0016990",MIR3972,Gene,miRNA,gene,NC_000001.11,1,17277889,17277975,2
172,173,39814,gene-LOC107984028,GeneID:107984028,LOC107984028,Gene,lncRNA,gene,NC_000001.11,1,17717573,17722353,4
173,174,39845,gene-LOC105376809,GeneID:105376809,LOC105376809,Gene,lncRNA,gene,NC_000001.11,-1,18000470,18010489,3
174,175,39860,gene-LOC105376812,GeneID:105376812,LOC105376812,Gene,lncRNA,gene,NC_000001.11,1,18043754,18052755,1
175,176,39865,gene-LINC01654,"GeneID:101927876,HGNC:HGNC:52442",LINC01654,Gene,lncRNA,gene,NC_000001.11,1,18065657,18074412,1
176,177,39968,gene-IGSF21-AS1,"GeneID:105376814,HGNC:HGNC:41190",IGSF21-AS1,Gene,lncRNA,gene,NC_000001.11,-1,18159959,18176775,3
177,178,40220,gene-MIR4695,"GeneID:100616120,HGNC:HGNC:41573,miRBase:MI0017328",MIR4695,Gene,miRNA,gene,NC_000001.11,-1,18883202,18883275,3
178,179,40227,gene-MIR1290,"GeneID:100302276,HGNC:HGNC:35283,miRBase:MI0006352",MIR1290,Gene,miRNA,gene,NC_000001.11,-1,18897071,18897148,2
179,180,40272,gene-LOC105376815,GeneID:105376815,LOC105376815,Gene,lncRNA,gene,NC_000001.11,-1,18970478,19051428,4
180,181,45452,gene-LOC101927895,GeneID:101927895,LOC101927895,Gene,lncRNA,gene,NC_000001.11,1,19210386,19240704,2
181,182,45877,gene-LOC100506730,GeneID:100506730,LOC100506730,Gene,lncRNA,gene,NC_000001.11,-1,19293247,19295736,1
182,183,46303,gene-LOC105376819,GeneID:105376819,LOC105376819,Gene,lncRNA,gene,NC_000001.11,1,19500221,19531797,3
183,184,46318,gene-LOC105376818,GeneID:105376818,LOC105376818,Gene,lncRNA,gene,NC_000001.11,-1,19509890,19512483,1
184,185,46324,gene-LOC105376817,GeneID:105376817,LOC105376817,Gene,lncRNA,gene,NC_000001.11,-1,19512540,19530730,1
185,186,46330,gene-LOC105378614,GeneID:105378614,LOC105378614,Gene,lncRNA,gene,NC_000001.11,-1,19591802,19596832,1
186,187,47030,gene-LOC105376823,GeneID:105376823,LOC105376823,Gene,lncRNA,gene,NC_000001.11,-1,19860211,19889289,2
187,188,47409,gene-UBXN10-AS1,"GeneID:101928017,HGNC:HGNC:41141",UBXN10-AS1,Gene,lncRNA,gene,NC_000001.11,-1,20184242,20186486,1
188,189,47413,gene-LOC105376825,GeneID:105376825,LOC105376825,Gene,lncRNA,gene,NC_000001.11,1,20197306,20202827,1
